file1,file2,label
../data/subdomains/company_law\01. Companies Act No. 7 of 2007__ADMINISTRATORS.embedding.npy,../data/subdomains/company_law\01. Companies Act No. 7 of 2007__EIGHTH SCHEDULE.embedding.npy,1
../data/subdomains/company_law\01. Companies Act No. 7 of 2007__ADMINISTRATORS.embedding.npy,../data/subdomains/company_law\01. Companies Act No. 7 of 2007__TWELFTH SCHEDULE.embedding.npy,1
../data/subdomains/company_law\01. Companies Act No. 7 of 2007__ADMINISTRATORS.embedding.npy,../data/subdomains/company_law\01. Companies Act No. 7 of 2007__FOURTH SCHEDULE.embedding.npy,1
../data/subdomains/company_law\01. Companies Act No. 7 of 2007__ADMINISTRATORS.embedding.npy,../data/subdomains/company_law\01. Companies Act No. 7 of 2007__COMPANIES DISPUTES BOARD.embedding.npy,0
../data/subdomains/company_law\01. Companies Act No. 7 of 2007__ADMINISTRATORS.embedding.npy,../data/subdomains/company_law\01. Companies Act No. 7 of 2007__OFFENCES.embedding.npy,0
../data/subdomains/company_law\01. Companies Act No. 7 of 2007__ADMINISTRATORS.embedding.npy,../data/subdomains/company_law\01. Companies Act No. 7 of 2007__COMPANY CONTRACTS ETC_.embedding.npy,0
../data/subdomains/company_law\01. Companies Act No. 7 of 2007__ADVISORY COMMISSION.embedding.npy,../data/subdomains/company_law\01. Companies Act No. 7 of 2007__PROVISIONS RELATING TO OFFSHORE COMPANIES.embedding.npy,1
../data/subdomains/company_law\01. Companies Act No. 7 of 2007__ADVISORY COMMISSION.embedding.npy,../data/subdomains/company_law\01. Companies Act No. 7 of 2007__ESSENTIAL CHARACTERISTICS OF COMPANIES.embedding.npy,1
../data/subdomains/company_law\01. Companies Act No. 7 of 2007__ADVISORY COMMISSION.embedding.npy,../data/subdomains/company_law\01. Companies Act No. 7 of 2007__Short title and date of operation.embedding.npy,1
../data/subdomains/company_law\01. Companies Act No. 7 of 2007__ADVISORY COMMISSION.embedding.npy,../data/subdomains/company_law\01. Companies Act No. 7 of 2007__COMPANY NAMES.embedding.npy,0
../data/subdomains/company_law\01. Companies Act No. 7 of 2007__ADVISORY COMMISSION.embedding.npy,../data/subdomains/company_law\01. Companies Act No. 7 of 2007__SEVENTH SCHEDULE.embedding.npy,0
../data/subdomains/company_law\01. Companies Act No. 7 of 2007__ADVISORY COMMISSION.embedding.npy,../data/subdomains/company_law\01. Companies Act No. 7 of 2007__SHARES AND DEBENTURES.embedding.npy,0
../data/subdomains/company_law\01. Companies Act No. 7 of 2007__AMALGAMATIONS.embedding.npy,../data/subdomains/company_law\01. Companies Act No. 7 of 2007__APPROVAL OF ARRANGEMENTS_ AMALGAMATIONS AND COMPROMISES BY COURT.embedding.npy,1
../data/subdomains/company_law\01. Companies Act No. 7 of 2007__AMALGAMATIONS.embedding.npy,../data/subdomains/company_law\01. Companies Act No. 7 of 2007__SEVENTH SCHEDULE.embedding.npy,1
../data/subdomains/company_law\01. Companies Act No. 7 of 2007__AMALGAMATIONS.embedding.npy,../data/subdomains/company_law\01. Companies Act No. 7 of 2007__SIXTH SCHEDULE.embedding.npy,1
../data/subdomains/company_law\01. Companies Act No. 7 of 2007__AMALGAMATIONS.embedding.npy,../data/subdomains/company_law\01. Companies Act No. 7 of 2007__EIGHTH SCHEDULE.embedding.npy,0
../data/subdomains/company_law\01. Companies Act No. 7 of 2007__AMALGAMATIONS.embedding.npy,../data/subdomains/company_law\01. Companies Act No. 7 of 2007__TWELFTH SCHEDULE.embedding.npy,0
../data/subdomains/company_law\01. Companies Act No. 7 of 2007__AMALGAMATIONS.embedding.npy,../data/subdomains/company_law\01. Companies Act No. 7 of 2007__THIRTEENTH SCHEDULE.embedding.npy,0
