entity,label
no.9,ORG
2003 9,DATE
4,CARDINAL
1,CARDINAL
5,CARDINAL
1,CARDINAL
6,CARDINAL
15,CARDINAL
1,CARDINAL
sri lanka,GPE
2,CARDINAL
1,CARDINAL
10,CARDINAL
no.9 of,ORG
2003,DATE
section 10,LAW
16,CARDINAL
17,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
18,CARDINAL
1,CARDINAL
no.9,ORG
2003 11,DATE
2,CARDINAL
1,CARDINAL
3,CARDINAL
2,CARDINAL
thirty days,DATE
4,CARDINAL
thirty days,DATE
3,CARDINAL
1,CARDINAL
19,CARDINAL
1,CARDINAL
12,CARDINAL
no.9 of,ORG
2003,DATE
2,CARDINAL
two months,DATE
20,CARDINAL
1,CARDINAL
section 19,LAW
section 19,LAW
2,CARDINAL
3,CARDINAL
section 21,LAW
2,CARDINAL
section 19,LAW
4,CARDINAL
no.9,ORG
2003 13,DATE
5,CARDINAL
4,CARDINAL
6,CARDINAL
5,CARDINAL
8),CARDINAL
2,CARDINAL
21,CARDINAL
1,CARDINAL
4,CARDINAL
section 20,LAW
2,CARDINAL
1,CARDINAL
14,CARDINAL
no.9 of,ORG
2003,DATE
3,CARDINAL
2,CARDINAL
4,CARDINAL
3,CARDINAL
5,CARDINAL
manufactuer,ORG
no.9,ORG
2003 15,DATE
22,DATE
1,CARDINAL
2,CARDINAL
1,CARDINAL
section 19,LAW
20,CARDINAL
21,CARDINAL
23,CARDINAL
one month,DATE
24,CARDINAL
25,CARDINAL
26,CARDINAL
1,CARDINAL
16,CARDINAL
no.9 of,ORG
2003,DATE
2,CARDINAL
27,CARDINAL
annual,DATE
one hundred thousand,CARDINAL
28,CARDINAL
29,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
30,CARDINAL
no.9,ORG
2003 17 31,DATE
32,CARDINAL
1,CARDINAL
section 12,LAW
