entity,label
22,CARDINAL
no.9 of,ORG
2003,DATE
39,CARDINAL
1,CARDINAL
2,CARDINAL
one,CARDINAL
3,CARDINAL
three years,DATE
4,CARDINAL
5,CARDINAL
no.9,ORG
2003 23 40,DATE
1,CARDINAL
2,CARDINAL
41,CARDINAL
1,CARDINAL
section 37,LAW
section 38,LAW
2,CARDINAL
24,CARDINAL
no.9 of,ORG
2003,DATE
sri lanka,GPE
3,CARDINAL
section 37,LAW
section 38,LAW
one month,DATE
42,CARDINAL
section 41,LAW
43,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
no.9,ORG
2003 25 44,DATE
1,CARDINAL
2,CARDINAL
45.,CARDINAL
evidence &c.,ORG
26,CARDINAL
no.9,ORG
2003,DATE
46,DATE
1,CARDINAL
section 45,LAW
2,CARDINAL
3,CARDINAL
2,CARDINAL
4,CARDINAL
three months,DATE
2,CARDINAL
47,CARDINAL
no.9,ORG
2003 27,DATE
part v fund,ORG
49,DATE
1,CARDINAL
2,CARDINAL
one-third,CARDINAL
section 59 or section 73,LAW
3,CARDINAL
