entity,label
28,CARDINAL
no.9 of,ORG
2003,DATE
financial year 50,DATE
1,CARDINAL
the financial year,DATE
2,CARDINAL
3,CARDINAL
article 154,LAW
51,CARDINAL
38,CARDINAL
1971,DATE
38,CARDINAL
1971,DATE
52,DATE
1,CARDINAL
2,CARDINAL
1,CARDINAL
no.9,ORG
2003 29,DATE
3,CARDINAL
4,CARDINAL
sri lanka,GPE
54,DATE
1,CARDINAL
the ministry of the minister,ORG
2,CARDINAL
2,CARDINAL
section 14,LAW
the national transport commission act,ORG
3,CARDINAL
3,CARDINAL
section 14,LAW
the national transport commission act,ORG
4,CARDINAL
