entity,label
30,CARDINAL
no.9,ORG
2003,DATE
55,CARDINAL
1,CARDINAL
first,ORDINAL
2,CARDINAL
1,CARDINAL
56,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
six years,DATE
no.9,ORG
2003 31 57,DATE
1,CARDINAL
2,CARDINAL
section 56,LAW
58,DATE
1,CARDINAL
32,CARDINAL
no.9 of,ORG
2003,DATE
section 16,LAW
17,CARDINAL
2,CARDINAL
1,CARDINAL
59,CARDINAL
1,CARDINAL
1,CARDINAL
section 58,LAW
less than three days,DATE
one,CARDINAL
english,LANGUAGE
sri lanka,GPE
2,CARDINAL
1,CARDINAL
3,CARDINAL
2,CARDINAL
60,CARDINAL
1,CARDINAL
section 56,LAW
no.9,ORG
2003 33,DATE
section 57,LAW
section 58,LAW
one thousand,CARDINAL
five thousand,CARDINAL
three months,DATE
first,ORDINAL
two thousand,CARDINAL
ten thousand,CARDINAL
six months,DATE
five thousand,CARDINAL
ten thousand,CARDINAL
first,ORDINAL
ten thousand,CARDINAL
twenty thousand,CARDINAL
2,CARDINAL
1,CARDINAL
section 41,LAW
