entity,label
no.9,ORG
2003 47,DATE
48,CARDINAL
no.9 of,ORG
2003,DATE
76,CARDINAL
77,DATE
no.9,ORG
2003 49,DATE
3(4,CARDINAL
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
three years,DATE
3.,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
4.,CARDINAL
5.,CARDINAL
section 3,LAW
6.,CARDINAL
sri lanka,GPE
less than three months,DATE
section 3,LAW
50,CARDINAL
no.9,ORG
2003,DATE
7,CARDINAL
1,CARDINAL
one,CARDINAL
sri lanka,GPE
2,CARDINAL
one,CARDINAL
3,CARDINAL
one,CARDINAL
8,CARDINAL
1,CARDINAL
one,CARDINAL
2,CARDINAL
four,CARDINAL
3,CARDINAL
4,CARDINAL
section 71,LAW
9,CARDINAL
10,CARDINAL
1,CARDINAL
2,CARDINAL
no.9,ORG
2003 51 11,DATE
52,CARDINAL
no.9,ORG
2003,DATE
english,NORP
885,CARDINAL
"1,180",CARDINAL
32,DATE
lotus road,ORG
01 before 15th december each year,DATE
the year,DATE
