entity,label
no.9,ORG
2003 33,DATE
section 57,LAW
section 58,LAW
one thousand,CARDINAL
five thousand,CARDINAL
three months,DATE
first,ORDINAL
two thousand,CARDINAL
ten thousand,CARDINAL
six months,DATE
five thousand,CARDINAL
ten thousand,CARDINAL
first,ORDINAL
ten thousand,CARDINAL
twenty thousand,CARDINAL
2,CARDINAL
1,CARDINAL
section 41,LAW
34,CARDINAL
no.9 of,ORG
2003,DATE
five thousand,CARDINAL
fifty thousand,CARDINAL
one year,DATE
first,ORDINAL
ten thousand,CARDINAL
one hundred thousand,CARDINAL
two years,DATE
fifty thousand,CARDINAL
one million,CARDINAL
first,ORDINAL
one hundred thousand,CARDINAL
two million,CARDINAL
1,CARDINAL
section 41,LAW
3,CARDINAL
section 15 or section 16,LAW
section 17,LAW
one thousand,CARDINAL
ten thousand,CARDINAL
six months,DATE
first,ORDINAL
two thousand,CARDINAL
twenty thousand,CARDINAL
no.9,ORG
2003 35,DATE
one year,DATE
ten thousand,CARDINAL
fifty thousand,CARDINAL
first,ORDINAL
one hundred thousand,CARDINAL
two hundred thousand,CARDINAL
4,CARDINAL
section 18,LAW
five thousand,CARDINAL
fifty thousand,CARDINAL
one year,DATE
first,ORDINAL
ten thousand,CARDINAL
one hundred thousand,CARDINAL
two years,DATE
fifty thousand,CARDINAL
one million,CARDINAL
first,ORDINAL
one hundred thousand,CARDINAL
two million,CARDINAL
5,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
section 72,LAW
36,CARDINAL
no.9 of,ORG
2003,DATE
one thousand,CARDINAL
ten thousand,CARDINAL
six months,DATE
first,ORDINAL
two thousand,CARDINAL
twenty thousand,CARDINAL
one year,DATE
ten thousand,CARDINAL
one hundred thousand,CARDINAL
first,ORDINAL
twenty thousand,CARDINAL
two hundred thousand,CARDINAL
6,CARDINAL
no.9,ORG
2003 37 61,DATE
1,CARDINAL
section 12,LAW
six weeks,DATE
2,CARDINAL
under section 12,DATE
one month,DATE
3,CARDINAL
under section 12,DATE
1,CARDINAL
38,CARDINAL
no.9 of,ORG
2003,DATE
section 12,LAW
4,CARDINAL
3,CARDINAL
5,CARDINAL
6,CARDINAL
62,CARDINAL
1,CARDINAL
4,CARDINAL
section 61,LAW
no.9,ORG
2003 39,DATE
2,CARDINAL
1,CARDINAL
63,CARDINAL
section 61,LAW
section 61,LAW
64,DATE
40,CARDINAL
no.9 of,ORG
2003,DATE
65,DATE
1,CARDINAL
2,CARDINAL
66,CARDINAL
section 136,LAW
no.9,ORG
2003,DATE
67,DATE
68.,CARDINAL
69,CARDINAL
70,DATE
1,CARDINAL
42,CARDINAL
no.9 of,ORG
2003,DATE
2,CARDINAL
1,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
73,CARDINAL
1,CARDINAL
1,CARDINAL
1979,DATE
1979,DATE
1987,DATE
section 3,LAW
chapter (bb,LAW
173,CARDINAL
section 6,LAW
