entity,label
no.9,ORG
2003 17 31,DATE
32,CARDINAL
1,CARDINAL
section 12,LAW
18,CARDINAL
no.9 of,ORG
2003,DATE
2,CARDINAL
3,CARDINAL
1,CARDINAL
2,CARDINAL
one month,DATE
4,CARDINAL
3,CARDINAL
5,CARDINAL
6,CARDINAL
5,CARDINAL
no.9,CARDINAL
2003 19,DATE
5,CARDINAL
33,CARDINAL
part iii promotion,ORG
34,DATE
1,CARDINAL
2,CARDINAL
1,CARDINAL
one hundred days,DATE
35,CARDINAL
section 34,LAW
sri lanka,GPE
sri lanka,GPE
20,CARDINAL
no.9,ORG
2003,DATE
36,DATE
1,CARDINAL
section 34,LAW
section 34,LAW
2,CARDINAL
section 33,LAW
3,CARDINAL
no.9,CARDINAL
2003 21,DATE
4,CARDINAL
5,CARDINAL
3,CARDINAL
4,CARDINAL
37,CARDINAL
1,CARDINAL
section 34,LAW
2,CARDINAL
1,CARDINAL
38,CARDINAL
section 34,LAW
22,CARDINAL
no.9 of,ORG
2003,DATE
39,CARDINAL
1,CARDINAL
2,CARDINAL
one,CARDINAL
3,CARDINAL
three years,DATE
4,CARDINAL
5,CARDINAL
