entity,label
42,CARDINAL
no.9 of,ORG
2003,DATE
2,CARDINAL
1,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
73,CARDINAL
1,CARDINAL
1,CARDINAL
1979,DATE
1979,DATE
1987,DATE
section 3,LAW
chapter (bb,LAW
173,CARDINAL
section 6,LAW
no.9,ORG
2003 43,DATE
section 8,LAW
section 10,LAW
the day,DATE
the day,DATE
section 34,LAW
the day,DATE
44,CARDINAL
no.9 of,ORG
2003,DATE
2,CARDINAL
1,CARDINAL
1987,DATE
section 30,LAW
the day,DATE
the day,DATE
section 18,LAW
the day,DATE
no.9,ORG
2003 45,DATE
the day,DATE
the day,DATE
46,CARDINAL
no.9 of,ORG
2003,DATE
the day,DATE
3,CARDINAL
chapter 173,LAW
74,CARDINAL
75,CARDINAL
section 39,LAW
no.9,ORG
2003 47,DATE
