file1,file2,label
../data/subdomains/consumer_law\12. Consumer Affairs Authority Act No 9 of 2003__Agreements and Price Control.embedding.npy,../data/subdomains/consumer_law\12. Consumer Affairs Authority Act No 9 of 2003__Regulation of Trade.embedding.npy,1
../data/subdomains/consumer_law\12. Consumer Affairs Authority Act No 9 of 2003__Agreements and Price Control.embedding.npy,../data/subdomains/consumer_law\12. Consumer Affairs Authority Act No 9 of 2003__Standards and Specifications.embedding.npy,1
../data/subdomains/consumer_law\12. Consumer Affairs Authority Act No 9 of 2003__Agreements and Price Control.embedding.npy,../data/subdomains/consumer_law\12. Consumer Affairs Authority Act No 9 of 2003__Complaints and Compensation.embedding.npy,1
../data/subdomains/consumer_law\12. Consumer Affairs Authority Act No 9 of 2003__Agreements and Price Control.embedding.npy,../data/subdomains/consumer_law\12. Consumer Affairs Authority Act No 9 of 2003__Offences and Penalties.embedding.npy,0
../data/subdomains/consumer_law\12. Consumer Affairs Authority Act No 9 of 2003__Agreements and Price Control.embedding.npy,../data/subdomains/consumer_law\12. Consumer Affairs Authority Act No 9 of 2003__Fund of the Authority.embedding.npy,0
../data/subdomains/consumer_law\12. Consumer Affairs Authority Act No 9 of 2003__Agreements and Price Control.embedding.npy,../data/subdomains/consumer_law\12. Consumer Affairs Authority Act No 9 of 2003__Financial Year and Audit.embedding.npy,0
../data/subdomains/consumer_law\12. Consumer Affairs Authority Act No 9 of 2003__Complaints and Compensation.embedding.npy,../data/subdomains/consumer_law\12. Consumer Affairs Authority Act No 9 of 2003__Standards and Specifications.embedding.npy,1
../data/subdomains/consumer_law\12. Consumer Affairs Authority Act No 9 of 2003__Complaints and Compensation.embedding.npy,../data/subdomains/consumer_law\12. Consumer Affairs Authority Act No 9 of 2003__Regulation of Trade.embedding.npy,1
../data/subdomains/consumer_law\12. Consumer Affairs Authority Act No 9 of 2003__Complaints and Compensation.embedding.npy,../data/subdomains/consumer_law\12. Consumer Affairs Authority Act No 9 of 2003__Agreements and Price Control.embedding.npy,1
../data/subdomains/consumer_law\12. Consumer Affairs Authority Act No 9 of 2003__Complaints and Compensation.embedding.npy,../data/subdomains/consumer_law\12. Consumer Affairs Authority Act No 9 of 2003__Objects and Functions of the Authority.embedding.npy,0
../data/subdomains/consumer_law\12. Consumer Affairs Authority Act No 9 of 2003__Complaints and Compensation.embedding.npy,../data/subdomains/consumer_law\12. Consumer Affairs Authority Act No 9 of 2003__Regulations and Repeals.embedding.npy,0
../data/subdomains/consumer_law\12. Consumer Affairs Authority Act No 9 of 2003__Complaints and Compensation.embedding.npy,../data/subdomains/consumer_law\12. Consumer Affairs Authority Act No 9 of 2003__General Provisions.embedding.npy,0
../data/subdomains/consumer_law\12. Consumer Affairs Authority Act No 9 of 2003__Consumer Affairs Council.embedding.npy,../data/subdomains/consumer_law\12. Consumer Affairs Authority Act No 9 of 2003__Objects and Functions of the Authority.embedding.npy,1
../data/subdomains/consumer_law\12. Consumer Affairs Authority Act No 9 of 2003__Consumer Affairs Council.embedding.npy,../data/subdomains/consumer_law\12. Consumer Affairs Authority Act No 9 of 2003__Staff of the Authority.embedding.npy,1
