entity,label
301,CARDINAL
2019/2020,DATE
15,CARDINAL
section 22,LAW
1973,DATE
third,ORDINAL
1,CARDINAL
third,ORDINAL
third,ORDINAL
2,CARDINAL
1923,DATE
16,CARDINAL
17,CARDINAL
1,CARDINAL
2.,CARDINAL
a reasonable hour,TIME
3.,CARDINAL
third,ORDINAL
third,ORDINAL
4.,CARDINAL
5,CARDINAL
section 32,LAW
18,CARDINAL
section 30,LAW
6,CARDINAL
301,CARDINAL
2019/2020,DATE
19,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
20,CARDINAL
section 38,LAW
21,CARDINAL
section 39,LAW
1,CARDINAL
2,CARDINAL
3,CARDINAL
lien,PERSON
section 40,LAW
section 43,LAW
section 47,LAW
lien,PERSON
lien,PERSON
7,CARDINAL
