entity,label
12,CARDINAL
2017 5,DATE
1,CARDINAL
2,CARDINAL
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
3,CARDINAL
1,CARDINAL
4,CARDINAL
section 5,LAW
1,CARDINAL
5,CARDINAL
1,CARDINAL
6,CARDINAL
12,CARDINAL
6,CARDINAL
1,CARDINAL
1,CARDINAL
8),CARDINAL
section 9,LAW
9,CARDINAL
fourteen days,DATE
10,CARDINAL
1,CARDINAL
12,CARDINAL
1,CARDINAL
8,CARDINAL
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
3,CARDINAL
sri lanka,GPE
sri lanka,GPE
the department of foreign exchange,ORG
5,CARDINAL
2006,DATE
25,CARDINAL
2005,DATE
chapter 26,LAW
one,CARDINAL
8,CARDINAL
12,CARDINAL
2017,DATE
sri lanka,GPE
one million,CARDINAL
sri lanka,GPE
3,CARDINAL
sri lanka,GPE
one million,CARDINAL
sri lanka,GPE
sri lanka,GPE
4,CARDINAL
sri lanka,GPE
sri lanka,GPE
3,CARDINAL
sri lanka,GPE
5,CARDINAL
3,CARDINAL
5,CARDINAL
sri lanka,GPE
6,CARDINAL
sri lanka,GPE
sri lanka,GPE
3,CARDINAL
section 8,LAW
9,CARDINAL
1,CARDINAL
2,CARDINAL
