entity,label
20,CARDINAL
12,CARDINAL
17,CARDINAL
section 13,LAW
18,DATE
section 13,LAW
19,CARDINAL
section 13,LAW
section 10,LAW
12,CARDINAL
20,CARDINAL
21,CARDINAL
1,CARDINAL
the department of foreign exchange of the central bank,ORG
the ministry of the minister,ORG
22,CARDINAL
12,CARDINAL
2017,DATE
2,CARDINAL
the department of foreign exchange,ORG
22,CARDINAL
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
5,CARDINAL
6,DATE
7,CARDINAL
8,CARDINAL
sri lanka,GPE
six months,DATE
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
twelve months,DATE
23,CARDINAL
1,CARDINAL
