entity,label
14,CARDINAL
12,CARDINAL
5,CARDINAL
1,CARDINAL
one million,CARDINAL
sri lanka,GPE
6,CARDINAL
3,CARDINAL
4,CARDINAL
4,CARDINAL
3,CARDINAL
4,CARDINAL
4,CARDINAL
thirty days,DATE
section 13,LAW
12,CARDINAL
5,CARDINAL
thirty days,DATE
section 13,LAW
8),CARDINAL
3,CARDINAL
4,CARDINAL
9,CARDINAL
4,CARDINAL
5,CARDINAL
12,CARDINAL
section 11,LAW
a period of,DATE
six months,DATE
six,CARDINAL
months,DATE
13,CARDINAL
1,CARDINAL
section 11,LAW
2,CARDINAL
1,CARDINAL
the supreme court,ORG
two,CARDINAL
