entity,label
8,CARDINAL
12,CARDINAL
2017,DATE
sri lanka,GPE
one million,CARDINAL
sri lanka,GPE
3,CARDINAL
sri lanka,GPE
one million,CARDINAL
sri lanka,GPE
sri lanka,GPE
4,CARDINAL
sri lanka,GPE
sri lanka,GPE
3,CARDINAL
sri lanka,GPE
5,CARDINAL
3,CARDINAL
5,CARDINAL
sri lanka,GPE
6,CARDINAL
sri lanka,GPE
sri lanka,GPE
3,CARDINAL
section 8,LAW
9,CARDINAL
1,CARDINAL
2,CARDINAL
12,CARDINAL
3,CARDINAL
1,CARDINAL
2,CARDINAL
4,CARDINAL
sri lanka,GPE
2,CARDINAL
section 4,LAW
5,CARDINAL
a period of,DATE
six years,DATE
10,CARDINAL
1,CARDINAL
the department of foreign exchange,ORG
the central bank,ORG
2,CARDINAL
