entity,label
12,CARDINAL
4,CARDINAL
30,CARDINAL
1,CARDINAL
chapter 423,LAW
2,CARDINAL
the day,DATE
the day,DATE
a period of,DATE
six months,DATE
31,CARDINAL
1,CARDINAL
2,CARDINAL
26,CARDINAL
12,CARDINAL
3,CARDINAL
sri lanka,GPE
32,CARDINAL
33,CARDINAL
30,CARDINAL
section 4,LAW
sri lanka,GPE
section 5,LAW
chapter 420,LAW
sri lanka,GPE
2006,DATE
12,CARDINAL
sri lanka,GPE
lankan,ORG
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
sri lankan,GPE
28,CARDINAL
12,CARDINAL
2017,DATE
sri lanka,GPE
4,CARDINAL
section 2,LAW
3,CARDINAL
sri lanka,GPE
2,CARDINAL
section 4,LAW
sri lanka,GPE
sri lanka,GPE
lankan,ORG
sri lanka,GPE
12,CARDINAL
2017 29,DATE
5,CARDINAL
6,DATE
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
