file1,file2,label
../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Admissibility of Documents.embedding.npy,../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Investigations and Inquiries.embedding.npy,1
../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Admissibility of Documents.embedding.npy,../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Contracts and Obligations.embedding.npy,1
../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Admissibility of Documents.embedding.npy,../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Liability of Bodies Corporate.embedding.npy,1
../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Admissibility of Documents.embedding.npy,../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Burden of Proof and Presumptions.embedding.npy,0
../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Admissibility of Documents.embedding.npy,../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Short title and Implementation.embedding.npy,0
../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Admissibility of Documents.embedding.npy,../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Indemnity and Secrecy.embedding.npy,0
../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Authorized Dealers and Restricted Dealers.embedding.npy,../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Guidelines and Directions.embedding.npy,1
../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Authorized Dealers and Restricted Dealers.embedding.npy,../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Current Transactions.embedding.npy,1
../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Authorized Dealers and Restricted Dealers.embedding.npy,../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Foreign Exchange or Foreign Assets.embedding.npy,1
../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Authorized Dealers and Restricted Dealers.embedding.npy,../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Contracts and Obligations.embedding.npy,0
../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Authorized Dealers and Restricted Dealers.embedding.npy,../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Failure to Comply and Penalties.embedding.npy,0
../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Authorized Dealers and Restricted Dealers.embedding.npy,../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Recovery of Sums Due.embedding.npy,0
../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Board of Inquiry.embedding.npy,../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Recovery of Sums Due.embedding.npy,1
../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Board of Inquiry.embedding.npy,../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Contracts and Obligations.embedding.npy,1
../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Board of Inquiry.embedding.npy,../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Liability of Bodies Corporate.embedding.npy,1
