text,embedding_path,label
"foreign exchange act, no. 12 of 2017 19 (b) the magistrate shall thereupon summon such person before him to show cause why further proceedings for the recovery of sum due under this act should not been taken against him and in default of sufficient cause being shown, such sum shall be deemed to be a fine imposed by a sentence of the magistrate on such person and the provisions of section 291 (except paragraphs (a), (d) and (i) of subsection (1) thereof of the code of criminal procedure act, no. 15 of 1979), relating to the default of payment of a fine imposed for such an offence shall thereupon apply and magistrate may make any direction, by the provisions of that subsection, he could have made at the time of imposing such sentence. (3) (a) the correctness of any statement in a certificate issued by the central bank for the purpose of this section shall not be called in question or examined by the court in any proceedings under this section and accordingly nothing in this section shall authorize the court to consider or decide the correctness of any statement in such certificate and the central bank’s certificate shall be sufficient evidence that the amount due under this act from the defaulting person has been duly calculated and that such amount is in default. (b) the certificate shall be signed by the governor of the central bank and shall be admissible in evidence in such action, without proof of signature and shall be prima facie proof of the matters stated therein. (4) any sum recovered in an action under this section shall be paid into the consolidated fund. 16. subject to the provisions of this act, any provisions permission, consent or authority granted under this act may relating to permission, be – consent or authority. (a) general or special; (b) absolute or conditional; 20 foreign exchange act, no. 12 of 2017 (c) limited so as to expire on a specified date, unless renewed; and (d) varied or revoked. burden of proof 17. in any inquiry under section 13, the burden of of permission. proving that any authorized dealer, restricted dealer or any other person, class or classes of persons not being an authorized dealer or restricted dealer had obtained the permission of the central bank for doing the act or making the omission which constitutes the violation of the provisions of the act or any regulation, order, guideline or direction issued or made thereunder shall be on such dealer, person or class or classes of persons. presumption 18. in any inquiry under section 13 in relation to foreign relating to currency, it shall be presumed, until the contrary is proved, foreign that the currency in respect of which the dealing in foreign currency. exchange in violation of the provisions of the act or any regulation, order, guideline or direction issued or made thereunder is alleged to have been committed is genuine. admissibility of 19. in an inquiry under section 13 or any proceeding certain under section 10, any of the following documents may be documents. produced before the board of inquiry or court and given in evidence against any authorised dealer, restricted dealer or any other person, class or classes of persons not being an authorized dealer or restricted dealer and shall be prima facie evidence of the matters, transactions and accounts therein contained – (a) a certified copy of a banker’s book or an extract thereof obtained from the manager or principal accountant of the bank; (b) a certified copy of any book or other record required by law to be maintained by a company or a certified copy of any extract thereof, obtained from a director or secretary of the company; and",../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Admissibility of Documents.embedding.npy,foreign_exchange_law
"2 foreign exchange act, no. 12 of 2017 authorized 4. (1) (a) every licensed commercial bank shall, dealers and immediately upon such bank being issued a license to carry restricted on banking business under the banking act, no. 30 of 1988, dealers. be authorized by the central bank to act, subject to the provisions of section 9 as an authorized dealer to deal in foreign exchange. (b) every licensed commercial bank which is on the appointed date carrying on banking business, shall subject to the provisions of section 9, be deemed to have been authorized by the central bank, to act as an authorized dealer to deal in foreign exchange. (c) every licensed specialised bank, immediately upon such bank being issued a license to carry on banking business under the banking act, no. 30 of 1988, may be authorized by the central bank subject to the provisions of section 9, to deal in foreign exchange for the purposes specified in such authorization. (d) every licensed specialised bank which is on the appointed date carrying on banking business, shall subject to the provisions of section 9, be deemed to have been authorized by the central bank to deal in foreign exchange for the purposes specified in such authorization. (2) (a) the central bank may permit, subject to the provisions of section 9, any person, class or classes of persons (hereinafter referred to as a “restricted dealer”) not being an authorized dealer, to deal in foreign exchange within sri lanka for the purposes specified in the permit, subject to such terms and conditions as may be imposed by the central bank in that behalf. (b) every dealer in foreign exchange including money changers or any other person other than licensed commercial banks or specialised banks, which are on the appointed date permitted to deal in foreign exchange, shall subject to the provisions of section 9, be deemed to have been permitted foreign exchange act, no. 12 of 2017 3 by the central bank, to act as a restricted dealer to deal in foreign exchange for the purposes specified in such authorization. (c) the central bank may, subject to the provisions of section 9, grant special permission, to any person not being an authorized dealer or restricted dealer, to deal in foreign exchange within sri lanka for specific purposes as may be prescribed by the minister by an order published in the gazette subject to such terms and conditions as may be specified in such order. (3) save as otherwise provided in this act, no person in or resident in sri lanka shall deal in foreign exchange within or outside sri lanka, by any act which involves the conversion of sri lanka rupees or assets within sri lanka to foreign exchange, otherwise than through an authorized dealer, or to the extent specified in the permit, through a restricted dealer. 5. any person in, or resident in, sri lanka who – foreign exchange or foreign assets (a) holds foreign exchange in a bank account in sri held or owned lanka or outside sri lanka; or by a person in or resident in sri lanka. (b) owns any foreign asset, may utilize such foreign exchange or foreign asset for making of any payment for, or in respect of, any current or capital transaction of such person, within or outside sri lanka. any such payment made from foreign exchange held by such person within sri lanka shall be made through an authorized dealer, or to the extent specified in the permit, through a restricted dealer.",../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Authorized Dealers and Restricted Dealers.embedding.npy,foreign_exchange_law
"foreign exchange act, no. 12 of 2017 13 (1), the central bank may, temporarily suspend the authorization granted under subsection (1) of section 4 or paragraph (b) of subsection (2) of section 4 or the permit granted under paragraph (a) of subsection (2) of section 4 to deal in foreign exchange. (3) the central bank may, where there is a temporary suspension under subsection (2), after an inquiry, giving the authorized dealer or restricted dealer a reasonable opportunity of being heard and with the approval of the monetary board, revoke the authorization or permit granted under section 4. (4) the central bank may in the circumstances referred to in subsection (1), without proceeding to revoke the authorization or the permit under subsection (3), after giving a reasonable opportunity of being heard and where it deems it appropriate taking into consideration all the relevant circumstances– (a) require an authorized dealer or restricted dealer who engages in any dealing in relation to foreign assets contrary to the provisions of this act as referred to in paragraph (b) of subsection (1), to pay to the central bank within such time as may be specified in such requirement an amount not exceeding the amount or value of such foreign asset or any part thereof in foreign exchange or sri lanka currency together with such expenses incurred by the central bank for the detection and investigation of such transaction; or (b) impose a limitation on such authorized dealer or restricted dealer who has directly or indirectly been a party to the unauthorized transaction, from dealing in or engaging in current or capital transactions in relation to foreign exchange as the case may be, for a period not exceeding twelve months. 14 foreign exchange act, no. 12 of 2017 (5) where any other person, class or classes of persons, not being an authorized dealer or restricted dealer acts in violation of the provisions of paragraphs (a), (b), (c) or (d) of subsection (1), the central bank may, upon the minister being informed, after giving such person a reasonable opportunity of being heard, require such person in writing, to pay as a penalty a sum not exceeding rupees one million or to pay a penalty of an amount not exceeding the amount or value of such current transaction or capital transaction or value of such foreign asset or any part thereof in foreign exchange or sri lanka currency together with such expenses incurred by the central bank for the detection and investigation of such transaction. (6) where the central bank revokes an authorization or permit under subsection (3) or requires to pay the sum determined under paragraph (a) of subsection (4) or imposes a limitation under paragraph (b) of subsection (4), the central bank shall communicate its decision or determination in writing together with its reasons therefor to such authorized dealer or restricted dealer. (7) (a) where any authorized dealer or restricted dealer – (i) aggrieved by a revocation of the authorization or permit under subsection (3); (ii) aggrieved by the requirement to pay the sum determined under paragraph (a) of subsection (4); or (iii) aggrieved by any limitation imposed under paragraph (b) of subsection (4), as the case may be, he may within thirty days after such decision or determination is communicated to such dealer, appeal against such revocation or determination to the board of inquiry which shall determine such appeal in accordance with the procedure set out in section 13.",../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Board of Inquiry.embedding.npy,foreign_exchange_law
"foreign exchange act, no. 12 of 2017 17 (b) the minister may with the reasons assigned therefor remove any appointed member. (c) in the event of any post of an appointed member of the board of inquiry being vacated by death, resignation, removal or the operation of the provisions of subsection (5), the minister may appoint another person, having regard to the provisions of subsections (2) and (3) to hold such office for the unexpired period of term of office of the member whom he succeeds. (d) if any appointed member of the board of inquiry is temporarily unable to perform the duties of his office during any period due to ill-health or absence from sri lanka or for any other cause, the minister may appoint some other person to act in his place for unexpired period. (7) the board of inquiry shall within thirty days of the receipt of the appeal make its determination in respect of such matter. (8) every appellant shall appear before the board of inquiry in person or with an authorized representative. (9) after the hearing of an appeal, the board of inquiry may confirm, vary or reverse the decision appealed against. (10) the decision of the board of inquiry and the reasons therefor shall be in writing, be notified to the appellant and the board of inquiry shall forward a report thereon to the minister. 14. where any person who is required to pay any sum liability of of money or penalty to the central bank under section 11 or bodies corporate or 13 is a body corporate or unincorporated, every director, unincorporated. member or partner of such body shall also be personally liable jointly and severally to pay such amount or value and expenses: provided that, such director, member or partner shall not be liable to pay such amount or value if such person proves 18 foreign exchange act, no. 12 of 2017 that the act or omission incurring such liability was done or omitted to have been done without the knowledge of such person or that such person exercised due diligence to prevent such act or omission. recovery of 15. (1) (a) where any person fails to pay any sum of sums due to money or penalty to the central bank under sections 11 or government. 13, the governor of the central bank shall cause a certificate to be issued under his hand, setting out the sum of money required to be paid by such person. (b) the sum of money so certified shall be deemed to be a debt due from such person to the government and may be recovered by the central bank by issuing a certificate to the district court having jurisdiction in the district where the person resides. (c) such certificate shall contain the particulars of the sum due and the name and place of residence as given in the authorization issued under section 4. (d) court shall thereupon direct a writ of execution to be issued to the fiscal authorizing and requiring him to seize and sell all the property movable and immovable of the defaulting person or such part thereof as the court may deem necessary for recovery of the amount so due and the provisions of sections 226 to 297 of the civil procedure code (chapter 101) shall, mutatis mutandis apply to and in relation to such seizure and sale. (2) (a) where the central bank is of the opinion that it is impracticable or inexpedient to recover the sum required to be paid under subsection (1) or where the full amount has not been recovered by the seizure and sale, then, the central bank may issue a certificate containing particulars of the sum so due and the name of the person and place of residence as given in the authorization issued under section 4 to the magistrate having jurisdiction foreign exchange act, no. 12 of 2017 19 (b) the magistrate shall thereupon summon such person before him to show cause why further proceedings for the recovery of sum due under this act should not been taken against him and in default of sufficient cause being shown, such sum shall be deemed to be a fine imposed by a sentence of the magistrate on such person and the provisions of section 291 (except paragraphs (a), (d) and (i) of subsection (1) thereof of the code of criminal procedure act, no. 15 of 1979), relating to the default of payment of a fine imposed for such an offence shall thereupon apply and magistrate may make any direction, by the provisions of that subsection, he could have made at the time of imposing such sentence. (3) (a) the correctness of any statement in a certificate issued by the central bank for the purpose of this section shall not be called in question or examined by the court in any proceedings under this section and accordingly nothing in this section shall authorize the court to consider or decide the correctness of any statement in such certificate and the central bank’s certificate shall be sufficient evidence that the amount due under this act from the defaulting person has been duly calculated and that such amount is in default. (b) the certificate shall be signed by the governor of the central bank and shall be admissible in evidence in such action, without proof of signature and shall be prima facie proof of the matters stated therein. (4) any sum recovered in an action under this section shall be paid into the consolidated fund. 16. subject to the provisions of this act, any provisions permission, consent or authority granted under this act may relating to permission, be – consent or authority. (a) general or special; (b) absolute or conditional;",../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Burden of Proof and Presumptions.embedding.npy,foreign_exchange_law
"foreign exchange act, no. 12 of 2017 5 and the central bank shall, after giving such person and the dealer a reasonable opportunity of being heard, affirm, vary or revoke such decision. 7. (1) the minister shall in consultation with the capital monetary board and with the approval of the cabinet of transaction. ministers, authorize by regulations, the class or classes of capital transactions in foreign exchange for the purpose of this section. (2) in making regulations under subsection (1), the minister shall have regard to – (a) transactions required to be regulated in conformity with any treaty or agreement relating to international financial transactions to which the government of sri lanka is a signatory; (b) the impact of such authorization on the monetary policy of sri lanka and its stabilization. (3) the regulations published under subsection (1) may specify the limit up to which capital transactions may be authorized and the terms and conditions subject to which foreign exchange may be dealt with for the class or classes of capital transactions, so authorized. (4) without prejudice to the provisions of section 5, a person shall be entitled to deal in foreign exchange in respect of a capital transaction of such person, through an authorized dealer or to the extent specified in the permit, through a restricted dealer, being capital transactions of a class or classes, which is or are authorized by regulations made under subsection (1). (5) an authorized dealer or a restricted dealer may deal in foreign exchange for a capital transaction as a principle or an intermediary, being a transaction authorized by regulations made under subsection (1). 6 foreign exchange act, no. 12 of 2017 (6) prior to dealing in foreign exchange in respect of a capital transaction under this section, the authorized dealer or the restricted dealer shall request the person requiring foreign exchange for such transaction, to provide such information or produce such documents or make such declaration as is reasonably necessary in order to satisfy himself that the requirement is in relation to a capital transaction authorized under subsection (1) and is in conformity with any other laws regulating such transactions. (7) an authorized dealer or a restricted dealer shall refuse to deal in foreign exchange for a capital transaction under this section where a request for information, documents or a declaration is not complied with or where the dealer is satisfied that the requirement is not for a capital transaction authorized under subsection (1) or is not in conformity with other laws regulating such transaction. (8) an authorized dealer or a restricted dealer refusing to deal in foreign exchange in respect of a capital transaction under this section shall communicate his decision in writing together with the reasons therefor, if requested by the person requiring the foreign exchange subject to the provisions of section 9 of the financial transactions reporting act, no. 6 of 2006. (9) any person aggrieved by the decision of an authorized dealer or a restricted dealer under subsection (7), may within fourteen days after such decision is communicated to such person, appeal against such decision to the central bank, and the central bank shall, after giving such person and the dealer a reasonable opportunity of being heard, affirm, vary or revoke such decision. (10) an authorized dealer or a restricted dealer shall not deal in foreign exchange for a capital transaction that is not authorized by regulations made under subsection (1) unless the monetary board taking into consideration the existence of any exceptional circumstances has granted approval for foreign exchange act, no. 12 of 2017 7 such capital transaction in accordance with such directions as may be issued by the minister in conformity with the approvals made under subsection (1). 8. (1) a person in, or resident in, sri lanka shall– regulation of certain (a) export from sri lanka or import into sri lanka, transactions. any foreign currency or sri lanka currency; (b) hold foreign exchange in his possession or in a bank account in sri lanka, only for such purpose, up to such limits and subject to such terms and conditions, as may be prescribed by the minister by an order published in the gazette. (2) a person in, or resident in, sri lanka shall acquire a foreign asset from foreign exchange derived from the conversion of sri lanka currency or the disposal or conversion of an asset within sri lanka or provision of any service in or from sri lanka only for such purposes, up to such limits and subject to such terms and conditions as may be prescribed by the minister by regulations made in that behalf. (3) notwithstanding anything to the contrary in the provisions of any other written law, any sri lankan citizen resident in sri lanka who remits to sri lanka any foreign exchange which have not been declared to the commissioner general of inland revenue or the head of the department of foreign exchange before the appointed date and which are not the property in respect of which proceedings are pending in a court of law or an order has been made by a court of law under the prevention of money laundering act, no. 5 of 2006, convention on the suppression of terrorist financing act, no. 25 of 2005 or the bribery act (chapter 26) shall be liable to pay only a remittance fee of one per centum to the commissioner general of inland revenue and shall not be subject to the payment of any other fee, tax, surcharge, levy or penalty: 8 foreign exchange act, no. 12 of 2017 provided that any such person who remits to sri lanka foreign exchange not exceeding the value of one million united states dollars held outside sri lanka shall not be liable to pay the remittance fee or any other tax, surcharge, levy or penalty and any amount remitted exceeding such value shall be liable to pay the remittance fee specified in subsection (3): provided further that any such person who remits to sri lanka an amount of foreign exchange exceeding the value of one million united states dollars held outside sri lanka and invests in a development bond issued by the government of sri lanka shall not be liable to pay the remittance fee or any other tax, surcharge, levy or penalty. (4) foreign exchange held outside sri lanka and remitted to sri lanka after the appointed date under subsection (3) may be held in a foreign currency account or may be converted into sri lanka rupees. (5) the property referred to in subsection (3) shall not be deemed to be the property obtained by the commission of an offence under the prevention of money laundering act, no. 5 of 2006 even if such foreign exchange had been held outside sri lanka without the permission of the central bank. (6) there shall be no restriction on the repatriation of funds out of sri lanka remitted to sri lanka by any person in terms of subsection (3) of section 8. guidelines and 9. (1) the central bank may from time to time, subject directions. to informing the minister issue guidelines and directions to authorized dealers and restricted dealers engaging in current transactions. (2) the central bank may from time to time subject to the approval of the minister issue guidelines and directions to authorized dealers and restricted dealers engaging in capital transactions.",../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Capital Transactions.embedding.npy,foreign_exchange_law
"foreign exchange act, no. 12 of 2017 23 (2) expenses incurred by the employees of the central bank in any suit or prosecution brought against such person before any court or tribunal in respect of any act which is done or purported to be done by such person under this act or any other written law or on the direction of central bank shall, if that act was done in good faith, be paid out of the consolidated fund, unless such expenses are recoverable by such person in any suit or proceedings. 24. (1) it shall be an implied condition in any contract, contracts. entered into, by virtue of the provisions of this act, the permission or consent of the central bank is at the time of the contract required for the performance of any term thereof, that terms should not be performed except insofar as the permission or consent is given or permission or consent is not required: provided that, the preceding provisions of this subsection shall not apply to that term insofar as the application of those provisions to that term is inconsistent with the intention of the parties to that contract, whether by reason of their having contemplated the performance of that term despite the provisions of this act, or for any other reason. (2) notwithstanding anything in the bills of exchange ordinance (chapter 82), neither the provisions of this act, nor any condition, whether express or implied having regard to those provisions, that any payment shall not be made without the permission of the central bank under this act, shall be deemed to prevent any instrument being a bill of exchange or promissory note under the said ordinance. 25. where the provisions of any other written law impose obligations an obligation in respect of the doing of any act and the under other written laws. permission or consent of the central bank is, by virtue of that act is required for the discharge of the obligation, it shall be an implied condition of the obligation that it shall not be discharged except in so far as the permission or consent is given or is not required. 24 foreign exchange act, no. 12 of 2017 penalties. 26. (1) any person who acts in contravention of the provisions of this act or any regulation order or direction issued or made thereunder for which no penalty is prescribed, may be required in writing by the central bank to pay as a penalty a sum not exceeding one million rupees, within such period as may be specified in the notification of such requirement. (2) any person aggrieved by a penalty imposed under subsection (1) may, within thirty days after the requirement to pay such penalty is communicated to such person, appeal against such requirement to pay such penalty to the board of inquiry which shall determine such appeal in accordance with the procedure set out in section 13. amendment of 27. the schedule to this act may from time to time in schedules by the interest of the national economy be amended, altered or resolution of varied by resolution of parliament. parliament. publication of 28. where any regulation or order made under this act orders in daily is required to be published in the gazette, it shall be published newspapers. once in three daily newspapers in the sinhala, tamil and english languages. regulations. 29. (1) the minister may make regulations in respect of all matters which are required by this act to be prescribed or in respect of which regulations are required or authorized to be made under this act. (2) every regulation made under subsection (1) shall be published in the gazette and shall come into operation on the date of publication or on such later date as may be specified therein. (3) every regulation made under subsection (1) shall, within three months from the date of its publication in the gazette be placed before parliament for approval. every regulation which is not so approved shall be deemed to be rescinded as from the date of disapproval, but without prejudice to anything previously done there under.",../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Contracts and Obligations.embedding.npy,foreign_exchange_law
"4 foreign exchange act, no. 12 of 2017 current 6. (1) a person shall be entitled to deal in foreign transaction. exchange for a current transaction of such person, through an authorized dealer or to the extent specified in the permit, through a restricted dealer. (2) an authorized dealer or a restricted dealer may deal in foreign exchange for a current transaction as a principal or as an intermediary. (3) prior to dealing in foreign currency for a current transaction under subsection (1), an authorized dealer or a restricted dealer shall request the person requiring foreign exchange for such transaction to provide such information or produce such documents or make such declaration as is reasonably necessary, in order to satisfy himself that the requirement is in relation to a current transaction and is in conformity with any other laws regulating such transactions. (4) an authorized dealer or a restricted dealer shall refuse to deal in foreign exchange for a current transaction under subsection (1) where the request for information, documents or declaration in terms of subsection (3) relating to such transaction is not complied with or where the dealer is satisfied that the requirement is not for a current transaction or is not in conformity with any other laws regulating such transactions. (5) an authorized dealer or a restricted dealer refusing to deal in foreign exchange for a current transaction under subsection (4) shall communicate his decision in writing together with the reasons therefor, if requested by the person requiring the foreign exchange subject to the provisions of section 9 of the financial transactions reporting act, no. 6 of 2006. (6) any person aggrieved by the decision of an authorized dealer or a restricted dealer under subsection (4) may, within fourteen days after such decision is communicated to such person, appeal against such decision to the central bank foreign exchange act, no. 12 of 2017 5 and the central bank shall, after giving such person and the dealer a reasonable opportunity of being heard, affirm, vary or revoke such decision. 7. (1) the minister shall in consultation with the capital monetary board and with the approval of the cabinet of transaction. ministers, authorize by regulations, the class or classes of capital transactions in foreign exchange for the purpose of this section. (2) in making regulations under subsection (1), the minister shall have regard to – (a) transactions required to be regulated in conformity with any treaty or agreement relating to international financial transactions to which the government of sri lanka is a signatory; (b) the impact of such authorization on the monetary policy of sri lanka and its stabilization. (3) the regulations published under subsection (1) may specify the limit up to which capital transactions may be authorized and the terms and conditions subject to which foreign exchange may be dealt with for the class or classes of capital transactions, so authorized. (4) without prejudice to the provisions of section 5, a person shall be entitled to deal in foreign exchange in respect of a capital transaction of such person, through an authorized dealer or to the extent specified in the permit, through a restricted dealer, being capital transactions of a class or classes, which is or are authorized by regulations made under subsection (1). (5) an authorized dealer or a restricted dealer may deal in foreign exchange for a capital transaction as a principle or an intermediary, being a transaction authorized by regulations made under subsection (1).",../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Current Transactions.embedding.npy,foreign_exchange_law
"foreign exchange act, no. 12 of 2017 11 central bank may, on application made to a magistrate’s court by a person authorized in that behalf by the monetary board, within whose jurisdiction such investigation is made, obtain an order directing the authorized dealer or the restricted dealer or other person as the case may be whose foreign exchange transaction or foreign assets is or are being, or is or are to be, investigated, to appear before the authorized person or to produce such books or documents in the custody or control of such dealer or person as the central bank or the authorized person making the investigation may reasonably require for such investigation. (7) an application made under subsection (6) by a person authorized in that behalf by the monetary board shall contain— (a) the name and address of the authorized dealer or a restricted dealer or other person as the case may be whose foreign exchange transaction is being or is to be investigated; (b) the address of the premises in which the investigation is to be made; (c) the name of the authorized person making the investigation; and (d) a prayer for an order - (i) for the appearance of such dealer or person before the authorized person; (ii) for the production of the books and documents to the central bank or the authorized person; (iii) to refrain from obstructing the authorized person making an investigation under this section. 12 foreign exchange act, no. 12 of 2017 (8) (a) court may, after considering an application made under subsections (6) and (7) make an order prayed for under paragraph (d) of subsection (7) and such dealer or person shall comply with the order forthwith. (b) any dealer or person who fails to comply with an order of the court under paragraph (a) commits an offence and shall, on conviction be liable to a fine not exceeding rupees five hundred thousand. (c) where the offence under paragraph (b) is a continuing offence, such dealer or person shall be liable to an additional fine of rupees hundred thousand for each day during which such offence continued. failure to 11. (1) where the central bank is satisfied that an comply with a authorized dealer or restricted dealer– provision of the act or any (a) deals in foreign exchange in any current transaction regulation, order, or capital transaction contrary to the provisions of direction, this act; guideline & etc. made or issued (b) deals in foreign exchange in relation to foreign thereunder. assets contrary to the provisions of this act; (c) fails to comply with any guideline or direction issued under subsections (1), (2) and (3) of section 9 or any requirement under subsection (4) of section9; or (d) violates any provision of this act or any regulation or order made thereunder, the central bank may, upon the minister being informed, issue a notice directing any such authorized dealer or restricted dealer to comply with the provisions of this act or any regulation, order, guideline or direction issued or made thereunder, within the period specified therein. (2) where any authorized dealer or restricted dealer fails to act in accordance with the notice issued under subsection",../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Failure to Comply and Penalties.embedding.npy,foreign_exchange_law
"foreign exchange act, no. 12 of 2017 3 by the central bank, to act as a restricted dealer to deal in foreign exchange for the purposes specified in such authorization. (c) the central bank may, subject to the provisions of section 9, grant special permission, to any person not being an authorized dealer or restricted dealer, to deal in foreign exchange within sri lanka for specific purposes as may be prescribed by the minister by an order published in the gazette subject to such terms and conditions as may be specified in such order. (3) save as otherwise provided in this act, no person in or resident in sri lanka shall deal in foreign exchange within or outside sri lanka, by any act which involves the conversion of sri lanka rupees or assets within sri lanka to foreign exchange, otherwise than through an authorized dealer, or to the extent specified in the permit, through a restricted dealer. 5. any person in, or resident in, sri lanka who – foreign exchange or foreign assets (a) holds foreign exchange in a bank account in sri held or owned lanka or outside sri lanka; or by a person in or resident in sri lanka. (b) owns any foreign asset, may utilize such foreign exchange or foreign asset for making of any payment for, or in respect of, any current or capital transaction of such person, within or outside sri lanka. any such payment made from foreign exchange held by such person within sri lanka shall be made through an authorized dealer, or to the extent specified in the permit, through a restricted dealer. 4 foreign exchange act, no. 12 of 2017 current 6. (1) a person shall be entitled to deal in foreign transaction. exchange for a current transaction of such person, through an authorized dealer or to the extent specified in the permit, through a restricted dealer. (2) an authorized dealer or a restricted dealer may deal in foreign exchange for a current transaction as a principal or as an intermediary. (3) prior to dealing in foreign currency for a current transaction under subsection (1), an authorized dealer or a restricted dealer shall request the person requiring foreign exchange for such transaction to provide such information or produce such documents or make such declaration as is reasonably necessary, in order to satisfy himself that the requirement is in relation to a current transaction and is in conformity with any other laws regulating such transactions. (4) an authorized dealer or a restricted dealer shall refuse to deal in foreign exchange for a current transaction under subsection (1) where the request for information, documents or declaration in terms of subsection (3) relating to such transaction is not complied with or where the dealer is satisfied that the requirement is not for a current transaction or is not in conformity with any other laws regulating such transactions. (5) an authorized dealer or a restricted dealer refusing to deal in foreign exchange for a current transaction under subsection (4) shall communicate his decision in writing together with the reasons therefor, if requested by the person requiring the foreign exchange subject to the provisions of section 9 of the financial transactions reporting act, no. 6 of 2006. (6) any person aggrieved by the decision of an authorized dealer or a restricted dealer under subsection (4) may, within fourteen days after such decision is communicated to such person, appeal against such decision to the central bank",../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Foreign Exchange or Foreign Assets.embedding.npy,foreign_exchange_law
"foreign exchange act, no. 12 of 2017 9 (3) the central bank may from time to time subject to the approval of the minister issue guidelines and directions to authorized dealers and restricted dealers engaging in transactions other than those referred to in subsections (1) and (2) relating to foreign exchange. (4) the central bank may from time to time subject to the approval of the minister issue guidelines and directions to any person, class or classes of persons not being an authorized dealer or restricted dealer, permitted to deal in foreign exchange within sri lanka under paragraph (c) of subsection (2) of section 4. (5) the central bank may for statistical and monitoring purposes, request an authorized dealer or a restricted dealer to furnish within such time as may be specified in such request, such information or returns in such form and manner in relation to any foreign exchange transaction engaged in by such dealer for a period of six years immediately prior to the date on which such request is communicated to such dealer. 10. (1) the central bank may, at any time, cause an investigations of investigation to be made, of foreign exchange transactions foreign exchange or foreign assets of any authorized dealer or a restricted dealer transactions and or any other person, class or classes of persons as the case foreign assets. may be, by an officer of the department of foreign exchange authorized in writing by the central bank (hereinafter referred to as an “authorized person”) in that behalf. (2) it shall be the duty of every authorized dealer or a restricted dealer or any other person, class or classes of persons – (a) to permit an authorized person entry into any premises for the purposes of such investigation; (b) to produce any books or other documents as may be required for the investigation by such authorized person; 10 foreign exchange act, no. 12 of 2017 (c) to permit such authorized person to retain for such time as may be necessary such books and other documents or to take copies or extracts; (d) to appear before the authorized person when required to do so by such authorized person; (e) to furnish such statement or information in relation to the investigation within such time and in such manner as the said authorized person may require; or (f) not to furnish information under this section, which to the knowledge of such dealer is false. (3) where an authorized person retains any book or document under subsection (2) the authorized person shall furnish to the person from whose custody or control such book or document was taken for detention, a copy of such book or document certified by such authorized person if a request for a copy is made by the person from whose custody or control such book or document was taken or the authorized person may without retaining original books or documents require the person to furnish true copies of such books or documents. (4) an authorized dealer or a restricted dealer or other person required to appear before the authorized person may be examined orally and any statement made by such dealer or person shall be reduced to writing and shall be signed by the dealer or person making the same. (5) for purposes of an investigation under subsection (1), the central bank or the authorized person may if the circumstances warrant, obtain the assistance of a police officer to prevent a breach of the peace, in the exercise of that right. (6) where the central bank apprehends any resistance in the course of an investigation under subsection (1), the",../data/subdomains/foreign_exchange_law\18. Foreign Exchange ACT NO 12 of 2017__Guidelines and Directions.embedding.npy,foreign_exchange_law
