entity,label
16,CARDINAL
six months,DATE
13,CARDINAL
sri lanka,GPE
section 20,LAW
thirty days,DATE
day,DATE
thirty-first day,DATE
14,CARDINAL
17,CARDINAL
15,CARDINAL
more than twelve,CARDINAL
months,DATE
six months,DATE
twelve months,DATE
two,CARDINAL
one,CARDINAL
at least two,CARDINAL
fifty cents,MONEY
ten,CARDINAL
two,CARDINAL
five hundred,CARDINAL
two,CARDINAL
seven hundred,CARDINAL
three,CARDINAL
one thousand,CARDINAL
twenty-one days,DATE
19,CARDINAL
21,CARDINAL
three days,DATE
three,CARDINAL
days,DATE
20,CARDINAL
fourteen days,DATE
second,ORDINAL
fourteen days,DATE
22,CARDINAL
one,CARDINAL
one,CARDINAL
two,CARDINAL
two,CARDINAL
one,CARDINAL
23,CARDINAL
one,CARDINAL
first,ORDINAL
first,ORDINAL
under 25,DATE
first,ORDINAL
first,ORDINAL
24,DATE
sri lanka,GPE
first,ORDINAL
28,CARDINAL
26,CARDINAL
sinhala language,PERSON
three days,DATE
seven years,DATE
five years,DATE
more than twenty-one,CARDINAL
such days,DATE
27,CARDINAL
forthwith,PERSON
29,CARDINAL
30,CARDINAL
