entity,label
45,DATE
43,CARDINAL
sri lanka,GPE
sri lanka,GPE
46,DATE
may 44,DATE
47,CARDINAL
•,PRODUCT
50,CARDINAL
aforesaid,PERSON
may 48,DATE
3,CARDINAL
three months,DATE
0f,CARDINAL
51,CARDINAL
the &c.,ORG
"assignees, &c. „",ORG
first,ORDINAL
• 52,PRODUCT
49,CARDINAL
more than one,CARDINAL
more than year's,DATE
one year's,DATE
the day,DATE
53,CARDINAL
56,CARDINAL
sri lanka,GPE
•,NORP
54,DATE
55,DATE
&c.,ORG
57,CARDINAL
60,CARDINAL
twelve months,DATE
twelve months,DATE
58,DATE
one,CARDINAL
59,CARDINAL
61,DATE
two months,DATE
two months,DATE
two months,DATE
62,CARDINAL
•sections 31,LAW
32,CARDINAL
1977,DATE
one,CARDINAL
67,CARDINAL
one,CARDINAL
63,CARDINAL
68,CARDINAL
first,ORDINAL
65,CARDINAL
fourth,ORDINAL
sri lanka,GPE
70,DATE
71,CARDINAL
69,CARDINAL
66,CARDINAL
first,ORDINAL
one hundred,CARDINAL
v/40,PERSON
