entity,label
154,CARDINAL
157,CARDINAL
one year,DATE
one year,DATE
155,CARDINAL
the fifteenth day of january,DATE
july,DATE
each year,DATE
six,CARDINAL
months,DATE
156,CARDINAL
158,CARDINAL
159,CARDINAL
five,CARDINAL
162,CARDINAL
160,CARDINAL
163,CARDINAL
ten,CARDINAL
164,CARDINAL
36,CARDINAL
37,CARDINAL
36,CARDINAL
161,CARDINAL
37,CARDINAL
two days,DATE
165,CARDINAL
one thousand,CARDINAL
chapter v,LAW
section 10,LAW
the undersigned a. &,ORG
the hour of........ o'clock,TIME
noon,TIME
a. b. c.d,PERSON
