entity,label
three hundred,CARDINAL
98,CARDINAL
nine,CARDINAL
101,CARDINAL
99,CARDINAL
102,CARDINAL
100,CARDINAL
105,CARDINAL
sri lanka,GPE
103,CARDINAL
104,CARDINAL
106,CARDINAL
six,CARDINAL
the months,DATE
107,CARDINAL
nine,CARDINAL
110,CARDINAL
two,CARDINAL
two hundred,CARDINAL
108,CARDINAL
the &c.,ORG
first,ORDINAL
109,CARDINAL
v/48,ORG
111,CARDINAL
lien,PERSON
114,CARDINAL
115,CARDINAL
112,CARDINAL
sri lanka,GPE
one hundred,CARDINAL
113,CARDINAL
one hundred,CARDINAL
ten,CARDINAL
days,DATE
one,CARDINAL
31,CARDINAL
32,CARDINAL
117,CARDINAL
twenty-one days',DATE
ten,CARDINAL
one hundred,CARDINAL
116,CARDINAL
first,ORDINAL
118,CARDINAL
one hundred,CARDINAL
first,ORDINAL
eighteen,CARDINAL
the first day,DATE
eighteen months,DATE
months,DATE
twenty-one days',DATE
second,ORDINAL
second,ORDINAL
two,CARDINAL
