entity,label
chapter 103,LAW
7,CARDINAL
1853,DATE
24,CARDINAL
2nd july,DATE
1854,DATE
1.,CARDINAL
4,CARDINAL
sri lanka,GPE
2,CARDINAL
sri lanka,GPE
sri lanka,GPE
5,CARDINAL
3,CARDINAL
the supreme court,ORG
7,CARDINAL
sri lanka,GPE
sri lanka,GPE
article 136,LAW
sri lanka,GPE
v/27,PERSON
two months,DATE
11,CARDINAL
8,CARDINAL
three months,DATE
three months,DATE
fifteen days,DATE
one month,DATE
first,ORDINAL
12,CARDINAL
9,CARDINAL
twenty-one,CARDINAL
days,DATE
sri lanka,GPE
thirty days,DATE
twenty-one days,DATE
thirty twenty-one days,DATE
days,DATE
thirty-first day,DATE
10,CARDINAL
six months,DATE
