entity,label
142,CARDINAL
2,CARDINAL
3,CARDINAL
sri lanka,GPE
36,CARDINAL
sri lanka,GPE
english,LANGUAGE
sri lanka,GPE
4,CARDINAL
five hundred thousand,CARDINAL
two years,DATE
second,ORDINAL
5,CARDINAL
187,CARDINAL
188,CARDINAL
144,CARDINAL
36,CARDINAL
2003,DATE
189,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
36,CARDINAL
2003,DATE
190,CARDINAL
191,CARDINAL
five hundred thousand,QUANTITY
192,CARDINAL
1,CARDINAL
146,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
193,CARDINAL
sri lanka,GPE
36,CARDINAL
194,CARDINAL
195,CARDINAL
196,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
148,CARDINAL
36,CARDINAL
2003,DATE
197,CARDINAL
1,CARDINAL
the day,DATE
2,CARDINAL
3,CARDINAL
first,ORDINAL
198,CARDINAL
199,CARDINAL
150,CARDINAL
36,CARDINAL
2003,DATE
200,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
sri lanka,GPE
201,CARDINAL
202,CARDINAL
three years,DATE
two years,DATE
first,ORDINAL
