entity,label
2,CARDINAL
2003,DATE
3,CARDINAL
3,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
sri lanka,GPE
36,CARDINAL
5,CARDINAL
two,CARDINAL
4,CARDINAL
36,CARDINAL
2003,DATE
mosaic,PRODUCT
section 10,LAW
36,CARDINAL
2003 5,DATE
6,CARDINAL
36,CARDINAL
2003,DATE
36,CARDINAL
one,CARDINAL
section 6,LAW
two,CARDINAL
6,CARDINAL
1,CARDINAL
8,CARDINAL
three,CARDINAL
2,CARDINAL
1,CARDINAL
1,CARDINAL
36,CARDINAL
2,CARDINAL
1,CARDINAL
8,CARDINAL
6,CARDINAL
the day,DATE
9,CARDINAL
1,CARDINAL
11,CARDINAL
13,CARDINAL
10,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
4,CARDINAL
1,CARDINAL
10,CARDINAL
1,CARDINAL
36,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
1,CARDINAL
11,CARDINAL
1,CARDINAL
1,CARDINAL
section 9,LAW
2,CARDINAL
12,CARDINAL
2003,DATE
3,CARDINAL
section 12,LAW
12,CARDINAL
1,CARDINAL
1,CARDINAL
section 9,LAW
2,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
section 9,LAW
36,CARDINAL
4,CARDINAL
1,CARDINAL
section 9,LAW
5,CARDINAL
1,CARDINAL
section 9,LAW
14,CARDINAL
2003,DATE
6,CARDINAL
1,CARDINAL
section 9,LAW
36,CARDINAL
1,CARDINAL
section 9,LAW
8),CARDINAL
1,CARDINAL
section 9,LAW
16,CARDINAL
2003,DATE
9,CARDINAL
1,CARDINAL
section 9,LAW
10,CARDINAL
