entity,label
40,CARDINAL
2003,DATE
12,CARDINAL
13,CARDINAL
41,CARDINAL
sri lanka,GPE
sri lanka,GPE
42,CARDINAL
1,CARDINAL
2,CARDINAL
sri lanka,GPE
sri lanka,GPE
36,CARDINAL
2003,DATE
1,CARDINAL
section 36,LAW
43,CARDINAL
44,DATE
chapte r vi durationof,ORG
45,CARDINAL
five years,DATE
46,DATE
1,CARDINAL
two,CARDINAL
five years,DATE
2,CARDINAL
the six months,DATE
six months,DATE
3,CARDINAL
42,CARDINAL
2003,DATE
4,CARDINAL
2,CARDINAL
chapter vii,LAW
47,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
36,CARDINAL
2003 43,DATE
48,DATE
1,CARDINAL
section 47,LAW
1,CARDINAL
2,CARDINAL
third,ORDINAL
sri lanka,GPE
chapter viii,PERSON
49,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
third,ORDINAL
50,CARDINAL
44,DATE
36,CARDINAL
2003,DATE
1,CARDINAL
section 47,LAW
51,CARDINAL
1,CARDINAL
section47,GPE
52,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
section 47,LAW
sri lanka,GPE
third,ORDINAL
36,CARDINAL
54,DATE
1,CARDINAL
third,ORDINAL
1,CARDINAL
section 47,LAW
2,CARDINAL
third,ORDINAL
1,CARDINAL
section 47,LAW
55,DATE
56,CARDINAL
46,CARDINAL
36,CARDINAL
2003,DATE
expiry,PERSON
57,DATE
1,CARDINAL
2,CARDINAL
58,DATE
1,CARDINAL
sri lanka,GPE
2,CARDINAL
1,CARDINAL
sri lanka,GPE
3,CARDINAL
36,CARDINAL
4,CARDINAL
chapter x renunciationand,LAW
59,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
60,CARDINAL
1,CARDINAL
29,CARDINAL
30,DATE
31,CARDINAL
48,CARDINAL
36,CARDINAL
2003,DATE
2,CARDINAL
section 29,LAW
section 33,LAW
2,CARDINAL
1,CARDINAL
61,CARDINAL
1,CARDINAL
2,CARDINAL
