entity,label
30,CARDINAL
2003,DATE
first,ORDINAL
sri lanka,GPE
first,ORDINAL
sri lanka,GPE
thirty days,DATE
2,CARDINAL
sri lanka,GPE
sri lanka,GPE
27,CARDINAL
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
sri lanka,GPE
first,ORDINAL
sri lanka,GPE
first,ORDINAL
sri lanka,GPE
3,CARDINAL
sri lanka,GPE
36,CARDINAL
2003 31,DATE
sri lanka,GPE
4,CARDINAL
sri lanka,GPE
part iii chapter iii,PERSON
28,CARDINAL
29,CARDINAL
30,CARDINAL
three,CARDINAL
32,CARDINAL
36,CARDINAL
2003,DATE
31,CARDINAL
1,CARDINAL
2,CARDINAL
the period of six months,DATE
3,CARDINAL
chapter,PERSON
protectionof,CARDINAL
32,DATE
1,CARDINAL
2,CARDINAL
section 34,LAW
3,CARDINAL
two,CARDINAL
36,CARDINAL
4,CARDINAL
33,CARDINAL
34,CARDINAL
first,ORDINAL
first,ORDINAL
33,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
one year,DATE
section 44,LAW
3,CARDINAL
a period of,DATE
three months,DATE
4,CARDINAL
3,CARDINAL
3,CARDINAL
the period of three months,DATE
1,CARDINAL
34,CARDINAL
2003,DATE
5,CARDINAL
34,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
1,CARDINAL
2,CARDINAL
36,CARDINAL
35,DATE
1,CARDINAL
2,CARDINAL
1,CARDINAL
chapter v,LAW
36,CARDINAL
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
