entity,label
150,CARDINAL
36,CARDINAL
2003,DATE
200,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
sri lanka,GPE
201,CARDINAL
202,CARDINAL
three years,DATE
two years,DATE
first,ORDINAL
36,CARDINAL
2003,DATE
203,CARDINAL
204,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
sri lanka,GPE
152,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
chapter xl amendmentof,PERSON
205,CARDINAL
no. 10,CARDINAL
1996,DATE
1,CARDINAL
3,CARDINAL
first,ORDINAL
36,CARDINAL
2003,DATE
article 154 p,LAW
2,CARDINAL
2,CARDINAL
second,ORDINAL
36,CARDINAL
2003,DATE
206,CARDINAL
section 101,LAW
235,CARDINAL
section 101,LAW
chapter 235,LAW
2003,DATE
207,CARDINAL
125a,PRODUCT
1,CARDINAL
2003,DATE
section 43,LAW
2,CARDINAL
1,CARDINAL
section 44,LAW
3,CARDINAL
1,CARDINAL
2,CARDINAL
154,CARDINAL
36,CARDINAL
2003,DATE
4,CARDINAL
5,CARDINAL
125b,DATE
1,CARDINAL
2,CARDINAL
1,CARDINAL
36,CARDINAL
155,CARDINAL
3,CARDINAL
1,CARDINAL
4,CARDINAL
3,CARDINAL
ten working days,DATE
3,CARDINAL
5,CARDINAL
1,CARDINAL
4,CARDINAL
6,CARDINAL
156,CARDINAL
36,CARDINAL
2003,DATE
4,CARDINAL
2003,DATE
8),CARDINAL
9,CARDINAL
2003,DATE
10,CARDINAL
125a,PRODUCT
125b,DATE
36,CARDINAL
11,CARDINAL
125a,PRODUCT
chapter xlii repealsand,ORG
208,CARDINAL
1,CARDINAL
52,CARDINAL
1979,DATE
2,CARDINAL
sri lanka,GPE
3,CARDINAL
4,CARDINAL
158,CARDINAL
2003,DATE
sri lanka,GPE
the day,DATE
the day,DATE
36,CARDINAL
the day,DATE
209,CARDINAL
the day,DATE
210,CARDINAL
the day,DATE
211,CARDINAL
the day,DATE
the day,DATE
160,CARDINAL
the day,DATE
chapter xliii,LAW
212,CARDINAL
sri lanka,GPE
chapter 422,LAW
paris,GPE
the world trade organisation,ORG
36,CARDINAL
sri lanka,GPE
sri lanka,GPE
paris,GPE
sri lanka,GPE
sri lanka,GPE
section 2,LAW
213,CARDINAL
162,CARDINAL
36,CARDINAL
2003,DATE
english,NORP
885,CARDINAL
"1,180",CARDINAL
32,DATE
lotus road,ORG
01 before 15th december each year,DATE
the year,DATE
