entity,label
70,CARDINAL
36,CARDINAL
2003,DATE
92,CARDINAL
1,CARDINAL
3,CARDINAL
section 84,LAW
sri lanka,GPE
third,ORDINAL
93,CARDINAL
1,CARDINAL
third,ORDINAL
1,CARDINAL
3,CARDINAL
section 84,LAW
2,CARDINAL
third,ORDINAL
1,CARDINAL
3,CARDINAL
section 84,LAW
invalid,ORG
94,CARDINAL
36,CARDINAL
95,CARDINAL
96,CARDINAL
72,CARDINAL
36,CARDINAL
2003,DATE
97,CARDINAL
1,CARDINAL
sri lanka,GPE
2,CARDINAL
1,CARDINAL
sri lanka,GPE
3,CARDINAL
4,CARDINAL
5,CARDINAL
2,CARDINAL
section 86,LAW
chapter xviii,LAW
surrenderand nullityof patent surrender,ORG
98,CARDINAL
1,CARDINAL
36,CARDINAL
2,CARDINAL
one,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
99,CARDINAL
1,CARDINAL
1,CARDINAL
section 62,LAW
3,CARDINAL
section 62,LAW
1,CARDINAL
section 79,LAW
63,DATE
64,DATE
65,DATE
66,CARDINAL
3,CARDINAL
4,CARDINAL
section71,CARDINAL
74,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
1,CARDINAL
100,CARDINAL
1,CARDINAL
2,CARDINAL
36,CARDINAL
101,CARDINAL
sri lanka,GPE
76,CARDINAL
36,CARDINAL
2003,DATE
one,CARDINAL
36,CARDINAL
one,CARDINAL
78,CARDINAL
36,CARDINAL
2003,DATE
chapter xx admissibilityof marks,LAW
102,CARDINAL
1,CARDINAL
2,CARDINAL
first,ORDINAL
first,ORDINAL
103,CARDINAL
104,CARDINAL
3,CARDINAL
103,CARDINAL
1,CARDINAL
36,CARDINAL
one,CARDINAL
80,CARDINAL
a period of,DATE
two years,DATE
a period of,DATE
two years,DATE
sri lanka,GPE
2,CARDINAL
1,CARDINAL
sri lanka,GPE
104,CARDINAL
1,CARDINAL
third,ORDINAL
sri lanka,GPE
third,ORDINAL
36,CARDINAL
sri lanka,GPE
third,ORDINAL
srl,GPE
third,ORDINAL
sri lanka,GPE
third,ORDINAL
third,ORDINAL
2,CARDINAL
82,CARDINAL
2003,DATE
36,CARDINAL
3,CARDINAL
1,CARDINAL
third,ORDINAL
105,CARDINAL
chapter xxi,PERSON
106,CARDINAL
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
five,CARDINAL
2,CARDINAL
107,CARDINAL
six months of the date,DATE
84,CARDINAL
36,CARDINAL
2003,DATE
a period of,DATE
three months,DATE
sri lanka,GPE
108,CARDINAL
1,CARDINAL
six months,DATE
first,ORDINAL
first,ORDINAL
2,CARDINAL
3,CARDINAL
1,CARDINAL
2,CARDINAL
109,CARDINAL
110,CARDINAL
1,CARDINAL
106,CARDINAL
109,CARDINAL
107,CARDINAL
108,CARDINAL
2,CARDINAL
106,CARDINAL
109,CARDINAL
