entity,label
84,CARDINAL
36,CARDINAL
2003,DATE
a period of,DATE
three months,DATE
sri lanka,GPE
108,CARDINAL
1,CARDINAL
six months,DATE
first,ORDINAL
first,ORDINAL
2,CARDINAL
3,CARDINAL
1,CARDINAL
2,CARDINAL
109,CARDINAL
110,CARDINAL
1,CARDINAL
106,CARDINAL
109,CARDINAL
107,CARDINAL
108,CARDINAL
2,CARDINAL
106,CARDINAL
109,CARDINAL
36,CARDINAL
2003 85,DATE
three months,DATE
3,CARDINAL
4,CARDINAL
section 107,LAW
108,CARDINAL
5,CARDINAL
107,CARDINAL
108,CARDINAL
6,CARDINAL
111,CARDINAL
1,CARDINAL
106,CARDINAL
109,CARDINAL
103,CARDINAL
104,CARDINAL
mark,PERSON
2,CARDINAL
103,CARDINAL
104,CARDINAL
3,CARDINAL
2,CARDINAL
one month,DATE
4,CARDINAL
86,CARDINAL
2003,DATE
5,CARDINAL
6,CARDINAL
a period of,DATE
three months,DATE
103,CARDINAL
104,CARDINAL
8),CARDINAL
9,CARDINAL
sri lanka,GPE
sri lanka,GPE
8),CARDINAL
a period of,DATE
three months,DATE
36,CARDINAL
10,CARDINAL
one,CARDINAL
section 103,LAW
104,CARDINAL
a period of,DATE
three months,DATE
11,CARDINAL
10,CARDINAL
12,CARDINAL
10,CARDINAL
a period of,DATE
three months,DATE
13,CARDINAL
14,CARDINAL
88,CARDINAL
36,CARDINAL
2003,DATE
112,CARDINAL
twelve months,DATE
113,CARDINAL
1,CARDINAL
2,CARDINAL
sri lanka,GPE
sri lanka,GPE
3,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
