entity,label
48,CARDINAL
36,CARDINAL
2003,DATE
2,CARDINAL
section 29,LAW
section 33,LAW
2,CARDINAL
1,CARDINAL
61,CARDINAL
1,CARDINAL
2,CARDINAL
36,CARDINAL
2003 49,DATE
62,DATE
1,CARDINAL
2,CARDINAL
3,CARDINAL
1,CARDINAL
50,CARDINAL
sri lanka,GPE
63,DATE
64,CARDINAL
1,CARDINAL
2,CARDINAL
sri lanka,GPE
sri lanka,GPE
3,CARDINAL
2,CARDINAL
one year,DATE
six months,DATE
36,CARDINAL
65,DATE
66,CARDINAL
chapter xii righttoa,ORG
67,CARDINAL
1,CARDINAL
section 68,LAW
2,CARDINAL
two,CARDINAL
3,CARDINAL
two,CARDINAL
68.,CARDINAL
five years,DATE
52,CARDINAL
36,CARDINAL
2003,DATE
69,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
1,CARDINAL
2,CARDINAL
70,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
36,CARDINAL
2003,DATE
71,DATE
1,CARDINAL
1,CARDINAL
54,CARDINAL
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
36,CARDINAL
6,CARDINAL
8),CARDINAL
sri lanka,GPE
washington,GPE
june19th 1970,DATE
73,CARDINAL
1,CARDINAL
english,LANGUAGE
english,LANGUAGE
56,CARDINAL
2003,DATE
2,CARDINAL
3,CARDINAL
4,CARDINAL
74,CARDINAL
one,CARDINAL
75,DATE
1,CARDINAL
2,CARDINAL
two,CARDINAL
36,CARDINAL
3,CARDINAL
76,DATE
1,CARDINAL
one,CARDINAL
2,CARDINAL
1,CARDINAL
the international bureau of the world intellectual property organization.,ORG
3,CARDINAL
1,CARDINAL
4,CARDINAL
1,CARDINAL
1,CARDINAL
58,CARDINAL
2003,DATE
2,CARDINAL
section 71,LAW
2,CARDINAL
1,CARDINAL
a period of,DATE
three months,DATE
3,CARDINAL
2,CARDINAL
4,CARDINAL
5,CARDINAL
4,CARDINAL
6,CARDINAL
8),CARDINAL
section 71,LAW
36,CARDINAL
7,CARDINAL
8),CARDINAL
section 71,LAW
1,CARDINAL
1,CARDINAL
section 71,LAW
2,CARDINAL
section 71,LAW
2,CARDINAL
section 71,LAW
sri lanka,GPE
section 73,LAW
2,CARDINAL
1,CARDINAL
a period of,DATE
three months,DATE
3,CARDINAL
3,CARDINAL
2,CARDINAL
60,CARDINAL
2003,DATE
4,CARDINAL
sri lanka,GPE
5,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
79,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
section 78,LAW
section 80,LAW
section 73,LAW
three months,DATE
36,CARDINAL
3,CARDINAL
4,CARDINAL
2,CARDINAL
5,CARDINAL
sri lanka,GPE
sri lanka,GPE
6,CARDINAL
2,CARDINAL
one month,DATE
80,DATE
sri lanka,GPE
sri lanka,GPE
81,CARDINAL
62,CARDINAL
36,CARDINAL
2003,DATE
82,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
2,CARDINAL
3,CARDINAL
2,CARDINAL
section 79,LAW
1,CARDINAL
2,CARDINAL
4,CARDINAL
one year,DATE
36,CARDINAL
2003,DATE
63,CARDINAL
xiv durationof,PERSON
83,DATE
1,CARDINAL
twenty years,DATE
2,CARDINAL
the second year,DATE
twelve months,DATE
second,ORDINAL
year,DATE
annual,DATE
six months,DATE
annual,DATE
chapter xv,PERSON
84,DATE
1,CARDINAL
2,CARDINAL
1,CARDINAL
64,CARDINAL
2003,DATE
3,CARDINAL
1,CARDINAL
36,CARDINAL
2003 65,DATE
2,CARDINAL
86,CARDINAL
1,CARDINAL
section 84,LAW
section 87,LAW
sri lanka,GPE
2,CARDINAL
66,CARDINAL
36,CARDINAL
2003,DATE
second,ORDINAL
first,ORDINAL
second,ORDINAL
first,ORDINAL
first,ORDINAL
second,ORDINAL
first,ORDINAL
second,ORDINAL
36,CARDINAL
3,CARDINAL
2,CARDINAL
173,CARDINAL
mutatis mutandis,PERSON
68,CARDINAL
36,CARDINAL
2003,DATE
87,CARDINAL
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
3,CARDINAL
section 64,LAW
2,CARDINAL
1,CARDINAL
3,CARDINAL
63,DATE
64,DATE
65,DATE
66,CARDINAL
68,CARDINAL
99,CARDINAL
chapter xvi,PERSON
88,CARDINAL
1,CARDINAL
36,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
third,ORDINAL
89,CARDINAL
90,CARDINAL
1,CARDINAL
3,CARDINAL
section 84,LAW
1,CARDINAL
2,CARDINAL
70,CARDINAL
36,CARDINAL
2003,DATE
92,CARDINAL
1,CARDINAL
3,CARDINAL
section 84,LAW
sri lanka,GPE
third,ORDINAL
93,CARDINAL
1,CARDINAL
third,ORDINAL
1,CARDINAL
3,CARDINAL
section 84,LAW
2,CARDINAL
third,ORDINAL
1,CARDINAL
3,CARDINAL
section 84,LAW
invalid,ORG
94,CARDINAL
