entity,label
16,CARDINAL
2003,DATE
9,CARDINAL
1,CARDINAL
section 9,LAW
10,CARDINAL
36,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
seventy years,DATE
2,CARDINAL
seventy years,DATE
3,CARDINAL
seventy years,DATE
seventy years,DATE
4,CARDINAL
seventy years,DATE
1,CARDINAL
2,CARDINAL
5,CARDINAL
twenty-five years,DATE
6,CARDINAL
14,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
18,CARDINAL
2003,DATE
2,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
15,CARDINAL
1,CARDINAL
2,CARDINAL
36,CARDINAL
16,DATE
1,CARDINAL
section 9,LAW
section 9,LAW
2,CARDINAL
transferee,CARDINAL
3,CARDINAL
chapter ii,LAW
17,CARDINAL
1,CARDINAL
section 21,LAW
section 21,LAW
20,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
4,CARDINAL
the end of the fiftieth calendar year,DATE
the year,DATE
18,CARDINAL
1,CARDINAL
section 21,LAW
36,CARDINAL
2,CARDINAL
1,CARDINAL
the end of the fiftieth calendar year,DATE
the year,DATE
the end of fiftieth,DATE
the year,DATE
19,CARDINAL
1,CARDINAL
2,CARDINAL
half,CARDINAL
1,CARDINAL
3,CARDINAL
the end of the fiftieth calendar year,DATE
the year,DATE
the end of the fiftieth calendar year,DATE
the year,DATE
20,CARDINAL
1,CARDINAL
section 21,LAW
22,CARDINAL
2,CARDINAL
the end of the fiftieth calender year,DATE
the year,DATE
21,CARDINAL
17,CARDINAL
18,DATE
19,DATE
20,CARDINAL
22,CARDINAL
1,CARDINAL
2,CARDINAL
36,CARDINAL
third,ORDINAL
24,CARDINAL
3,CARDINAL
23,CARDINAL
1,CARDINAL
section 22,LAW
36,CARDINAL
2,CARDINAL
section 22,LAW
1,CARDINAL
3,CARDINAL
24,CARDINAL
1,CARDINAL
4,CARDINAL
26,CARDINAL
2003,DATE
2,CARDINAL
1,CARDINAL
11,CARDINAL
12,DATE
3,CARDINAL
4,CARDINAL
1,CARDINAL
5,CARDINAL
4,CARDINAL
6,CARDINAL
4,CARDINAL
36,CARDINAL
1,CARDINAL
1,CARDINAL
more than one,CARDINAL
28,CARDINAL
one year,DATE
2,CARDINAL
sri lanka,GPE
sri lanka,GPE
36,CARDINAL
4,CARDINAL
3,CARDINAL
4,CARDINAL
26,CARDINAL
1,CARDINAL
sri lanka,GPE
30,CARDINAL
2003,DATE
first,ORDINAL
sri lanka,GPE
first,ORDINAL
sri lanka,GPE
thirty days,DATE
2,CARDINAL
sri lanka,GPE
sri lanka,GPE
27,CARDINAL
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
sri lanka,GPE
first,ORDINAL
sri lanka,GPE
first,ORDINAL
sri lanka,GPE
3,CARDINAL
sri lanka,GPE
