entity,label
36,CARDINAL
35,DATE
1,CARDINAL
2,CARDINAL
1,CARDINAL
chapter v,LAW
36,CARDINAL
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
36,CARDINAL
2003,DATE
2,CARDINAL
3,CARDINAL
4,CARDINAL
3,CARDINAL
5,CARDINAL
37,CARDINAL
six months of the date,DATE
a period of,DATE
three months,DATE
sri lanka,GPE
38,CARDINAL
39,CARDINAL
1,CARDINAL
36,CARDINAL
section 37,LAW
section 38,LAW
36,CARDINAL
2003 37,DATE
2,CARDINAL
36,CARDINAL
37,CARDINAL
three months,DATE
3,CARDINAL
section 37,LAW
4,CARDINAL
section 37,LAW
5,CARDINAL
40,CARDINAL
1,CARDINAL
36,CARDINAL
38,CARDINAL
section 29,LAW
2,CARDINAL
section 29,LAW
3,CARDINAL
a period of,DATE
one month,DATE
2,CARDINAL
38,CARDINAL
2003,DATE
4,CARDINAL
3,CARDINAL
5,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
a period of,DATE
three months,DATE
the same period,DATE
5,CARDINAL
6,CARDINAL
a period of,DATE
one month,DATE
36,CARDINAL
8),CARDINAL
sri lanka,GPE
sri lanka,GPE
6,CARDINAL
8),CARDINAL
8),CARDINAL
a period of,DATE
two months,DATE
9,CARDINAL
one,CARDINAL
section 29,LAW
a period of,DATE
two months,DATE
10,CARDINAL
9,CARDINAL
11,CARDINAL
9,CARDINAL
a period of,DATE
one month,DATE
40,CARDINAL
2003,DATE
12,CARDINAL
13,CARDINAL
41,CARDINAL
sri lanka,GPE
sri lanka,GPE
42,CARDINAL
1,CARDINAL
2,CARDINAL
sri lanka,GPE
sri lanka,GPE
