entity,label
democratic,NORP
sri lanka,GPE
36,CARDINAL
2003,DATE
"12th november, 2003",DATE
democratic,NORP
sri lanka,GPE
"november 14, 2003",DATE
1,CARDINAL
80.00,CARDINAL
27.00,CARDINAL
36,CARDINAL
2003 1,DATE
"12th november, 2003",DATE
54/2002,CARDINAL
chapter 235,LAW
democratic,NORP
sri lanka,GPE
1,CARDINAL
36,CARDINAL
2003,DATE
2,CARDINAL
1,CARDINAL
sri lanka,GPE
2,CARDINAL
2,CARDINAL
"18510—10,650",CARDINAL
2003/05,CARDINAL
2,CARDINAL
2003,DATE
3,CARDINAL
3,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
sri lanka,GPE
