entity,label
88,CARDINAL
36,CARDINAL
2003,DATE
112,CARDINAL
twelve months,DATE
113,CARDINAL
1,CARDINAL
2,CARDINAL
sri lanka,GPE
sri lanka,GPE
3,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
36,CARDINAL
2003,DATE
114,CARDINAL
115,CARDINAL
116,CARDINAL
117,CARDINAL
chapter xxii,LAW
durationof registrationofa,PERSON
118,CARDINAL
1,CARDINAL
ten years,DATE
90,CARDINAL
2003,DATE
2,CARDINAL
119,CARDINAL
1,CARDINAL
ten years,DATE
2,CARDINAL
3,CARDINAL
the twelve months,DATE
six months,DATE
4,CARDINAL
5,CARDINAL
3,CARDINAL
120,CARDINAL
36,CARDINAL
2003,DATE
121,CARDINAL
1,CARDINAL
2,CARDINAL
third,ORDINAL
3,CARDINAL
sri lanka,GPE
third,ORDINAL
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
4,CARDINAL
92,CARDINAL
36,CARDINAL
2003,DATE
122,CARDINAL
third,ORDINAL
sri lanka,GPE
chapter xxiv assignmentand,PERSON
123,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
36,CARDINAL
4,CARDINAL
5,CARDINAL
third,ORDINAL
chapter xxv licence,LAW
124,CARDINAL
1,CARDINAL
2,CARDINAL
125,CARDINAL
1,CARDINAL
2,CARDINAL
126,CARDINAL
sri lanka,GPE
94,CARDINAL
2003,DATE
third,ORDINAL
127,CARDINAL
1,CARDINAL
third,ORDINAL
2,CARDINAL
third,ORDINAL
128,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
36,CARDINAL
2003,DATE
129,CARDINAL
130,CARDINAL
1,CARDINAL
sri lanka,GPE
2,CARDINAL
1,CARDINAL
sri lanka,GPE
3,CARDINAL
4,CARDINAL
96,CARDINAL
36,CARDINAL
2003,DATE
131,CARDINAL
expiry,PERSON
132,CARDINAL
2,CARDINAL
section 125,LAW
chapter xxvi,PERSON
renunciationand nullityof registrationofa mark renunciation,ORG
133,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
36,CARDINAL
4,CARDINAL
134,CARDINAL
1,CARDINAL
103,CARDINAL
104,CARDINAL
2,CARDINAL
3,CARDINAL
1,CARDINAL
five years,DATE
3,CARDINAL
section 113,LAW
135,CARDINAL
1,CARDINAL
2,CARDINAL
98,CARDINAL
36,CARDINAL
2003,DATE
xxvii,GPE
136,CARDINAL
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
five consecutive years,DATE
one,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
36,CARDINAL
2003,DATE
137,CARDINAL
1,CARDINAL
2,CARDINAL
chapter xxviii,PERSON
138,CARDINAL
1,CARDINAL
2,CARDINAL
one,CARDINAL
3,CARDINAL
section 103,LAW
100,CARDINAL
36,CARDINAL
2003,DATE
139,CARDINAL
1,CARDINAL
mark,PERSON
2,CARDINAL
1,CARDINAL
3,CARDINAL
2,CARDINAL
4,CARDINAL
two months,DATE
36,CARDINAL
2003,DATE
5,CARDINAL
136,CARDINAL
2,CARDINAL
6,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
section 139,LAW
140,CARDINAL
1,CARDINAL
2,CARDINAL
9,CARDINAL
102,CARDINAL
2003,DATE
3,CARDINAL
1,CARDINAL
4,CARDINAL
141,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
2,CARDINAL
chapter xxix certification marks,LAW
142,CARDINAL
1,CARDINAL
2,CARDINAL
one,CARDINAL
3,CARDINAL
section 103,LAW
36,CARDINAL
2003 103,DATE
4,CARDINAL
5,CARDINAL
6,CARDINAL
5,CARDINAL
104,CARDINAL
2003,DATE
8),CARDINAL
6,CARDINAL
5,CARDINAL
9,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
10,CARDINAL
36,CARDINAL
9,CARDINAL
4,CARDINAL
11,CARDINAL
143,CARDINAL
106,CARDINAL
36,CARDINAL
2003,DATE
144,CARDINAL
1,CARDINAL
third,ORDINAL
2,CARDINAL
third,ORDINAL
3,CARDINAL
145,CARDINAL
1,CARDINAL
2,CARDINAL
vii chapter,PERSON
146,CARDINAL
1,CARDINAL
2,CARDINAL
36,CARDINAL
2003,DATE
147,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
148,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
2,CARDINAL
section 147,LAW
108,CARDINAL
2003,DATE
2,CARDINAL
1,CARDINAL
2,CARDINAL
section 147,LAW
1,CARDINAL
1,CARDINAL
1,CARDINAL
36,CARDINAL
sri lanka,GPE
more than two years,DATE
149,CARDINAL
1,CARDINAL
first,ORDINAL
sri lanka,GPE
2,CARDINAL
sri lanka,GPE
2,CARDINAL
the end of the tenth calendar year,DATE
150,CARDINAL
1,CARDINAL
2,CARDINAL
sri lanka,GPE
a period of,DATE
two years,DATE
110,CARDINAL
2003,DATE
3,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
first,ORDINAL
section 146,LAW
4,CARDINAL
3,CARDINAL
a period of,DATE
two months,DATE
36,CARDINAL
2003,DATE
151,CARDINAL
1,CARDINAL
2,CARDINAL
section 150,LAW
112,CARDINAL
2003,DATE
3,CARDINAL
first,ORDINAL
sri lanka,GPE
4,CARDINAL
5,CARDINAL
152,CARDINAL
1,CARDINAL
second,ORDINAL
second,ORDINAL
one year,DATE
2,CARDINAL
a period of,DATE
two months,DATE
3,CARDINAL
2,CARDINAL
second,ORDINAL
36,CARDINAL
113,CARDINAL
4,CARDINAL
2,CARDINAL
5,CARDINAL
153,CARDINAL
1,CARDINAL
2,CARDINAL
third,ORDINAL
3,CARDINAL
1,CARDINAL
148,CARDINAL
third,ORDINAL
154,CARDINAL
1,CARDINAL
147,CARDINAL
114,CARDINAL
2003,DATE
sri lanka,GPE
2,CARDINAL
148,CARDINAL
2,CARDINAL
section 150,LAW
2,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
155,CARDINAL
sri lanka,GPE
section 175,LAW
156,CARDINAL
1,CARDINAL
148,CARDINAL
36,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
2,CARDINAL
157,CARDINAL
five hundred thousand,CARDINAL
six months,DATE
second,ORDINAL
158,CARDINAL
125a,PRODUCT
125b,PERSON
163,CARDINAL
174,CARDINAL
177,CARDINAL
180,CARDINAL
187,CARDINAL
191,CARDINAL
195,CARDINAL
204,CARDINAL
116,CARDINAL
36,CARDINAL
2003,DATE
159,CARDINAL
at least one,CARDINAL
three,CARDINAL
at least one,CARDINAL
three,CARDINAL
146,CARDINAL
160,CARDINAL
1,CARDINAL
36,CARDINAL
117,CARDINAL
2,CARDINAL
3,CARDINAL
118,CARDINAL
4,CARDINAL
36,CARDINAL
5,CARDINAL
6,CARDINAL
120,CARDINAL
2003,DATE
third,ORDINAL
36,CARDINAL
8),CARDINAL
five hundred thousand,QUANTITY
six months,DATE
9,CARDINAL
6,CARDINAL
161,CARDINAL
1,CARDINAL
122,CARDINAL
36,CARDINAL
2003,DATE
section 160,LAW
2,CARDINAL
103,CARDINAL
160,CARDINAL
161,CARDINAL
3,CARDINAL
2,CARDINAL
4,CARDINAL
36,CARDINAL
5,CARDINAL
chapter xxxiv,PERSON
162,CARDINAL
1,CARDINAL
&c. commission,ORG
2,CARDINAL
1,CARDINAL
less than five,CARDINAL
more than ten,CARDINAL
3,CARDINAL
4,CARDINAL
three years,DATE
124,CARDINAL
2003,DATE
4,CARDINAL
sri lanka,GPE
5,CARDINAL
sri lanka,GPE
36,CARDINAL
125,CARDINAL
6,CARDINAL
8),CARDINAL
9,CARDINAL
126,CARDINAL
36,CARDINAL
2003,DATE
xi,ORG
xxxv applicationstoandproceedingsbefore,PERSON
163,CARDINAL
1,CARDINAL
2,CARDINAL
36,CARDINAL
3,CARDINAL
4,CARDINAL
164,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
128,CARDINAL
2003,DATE
3,CARDINAL
1,CARDINAL
4,CARDINAL
5,CARDINAL
4,CARDINAL
6,CARDINAL
36,CARDINAL
7,CARDINAL
165,CARDINAL
166,CARDINAL
sri lanka,GPE
167,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
130,CARDINAL
36,CARDINAL
2003,DATE
168,CARDINAL
169,CARDINAL
170,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
36,CARDINAL
1,CARDINAL
4,CARDINAL
third,ORDINAL
5,CARDINAL
6,CARDINAL
132,CARDINAL
2003,DATE
7,CARDINAL
8),CARDINAL
9,CARDINAL
10,CARDINAL
fifty thousand,CARDINAL
one million,CARDINAL
11,CARDINAL
171,CARDINAL
36,CARDINAL
133,CARDINAL
three months,DATE
the period of three months,DATE
172,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
134,CARDINAL
36,CARDINAL
2003,DATE
4,CARDINAL
2,CARDINAL
1978,DATE
173,CARDINAL
1,CARDINAL
a period of,DATE
six months,DATE
2,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
4,CARDINAL
the supreme court,ORG
the supreme court,ORG
36,CARDINAL
135,CARDINAL
6,CARDINAL
the supreme court,ORG
5,CARDINAL
the supreme court,ORG
the supreme court,ORG
174,CARDINAL
1,CARDINAL
2,CARDINAL
175,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
sri lanka,GPE
sri lanka,GPE
the supreme court of,ORG
sri lanka,GPE
136,CARDINAL
2003,DATE
4,CARDINAL
5,CARDINAL
a period of,DATE
three years,DATE
a consecutive period of,DATE
three years,DATE
six months,DATE
6,CARDINAL
2,CARDINAL
a period of,DATE
two years,DATE
chapter xxxvii fund fund,ORG
176,CARDINAL
1,CARDINAL
the ministry of the minister,ORG
2,CARDINAL
two-thirds,CARDINAL
3,CARDINAL
1,CARDINAL
