entity,label
92,CARDINAL
66,CARDINAL
1,CARDINAL
3,CARDINAL
2,CARDINAL
5,CARDINAL
67,CARDINAL
1,CARDINAL
6,CARDINAL
2,CARDINAL
the day,DATE
3,CARDINAL
69,CARDINAL
4,CARDINAL
68,CARDINAL
1,CARDINAL
2,CARDINAL
two,CARDINAL
70,DATE
iv/178,ORG
71,CARDINAL
1,CARDINAL
one,CARDINAL
sri lanka,GPE
2)where,CARDINAL
two,CARDINAL
3,CARDINAL
two,CARDINAL
sri lanka,GPE
first,ORDINAL
sri lanka,GPE
first,ORDINAL
2,CARDINAL
4,CARDINAL
one,CARDINAL
more than one,CARDINAL
5,CARDINAL
sri lanka,GPE
3,CARDINAL
6,CARDINAL
one,CARDINAL
whole bill,PERSON
4,CARDINAL
sri lanka,GPE
72,CARDINAL
one,CARDINAL
sri lanka,GPE
1,CARDINAL
the day,DATE
92,CARDINAL
5,CARDINAL
one,CARDINAL
76,DATE
1,CARDINAL
two,CARDINAL
4,CARDINAL
30,CARDINAL
1961,DATE
73,CARDINAL
2,CARDINAL
30,CARDINAL
1961.1,CARDINAL
74,CARDINAL
1,CARDINAL
1,CARDINAL
6,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
1961-,CARDINAL
5,CARDINAL
2,CARDINAL
6,CARDINAL
3,CARDINAL
78,CARDINAL
79,CARDINAL
1,CARDINAL
more than one,CARDINAL
75,CARDINAL
