entity,label
92,CARDINAL
2,CARDINAL
2,CARDINAL
83,CARDINAL
76 to 82,DATE
76,CARDINAL
82,CARDINAL
80,CARDINAL
84,CARDINAL
76 to 82,DATE
76,CARDINAL
82,CARDINAL
81,CARDINAL
6.30,CARDINAL
11,CARDINAL
1961,DATE
85,DATE
1,CARDINAL
one,CARDINAL
82,CARDINAL
1,CARDINAL
92,CARDINAL
2,CARDINAL
2,CARDINAL
3,CARDINAL
3,CARDINAL
4,CARDINAL
sri lanka,GPE
86,DATE
90,CARDINAL
bearer,ORG
87,CARDINAL
1,CARDINAL
two,CARDINAL
2,CARDINAL
two,CARDINAL
91,CARDINAL
1,CARDINAL
88,DATE
1,CARDINAL
2,CARDINAL
2,CARDINAL
first,ORDINAL
3,CARDINAL
3,CARDINAL
89,CARDINAL
1,CARDINAL
4,CARDINAL
