entity,label
4,CARDINAL
indorsee,GPE
31,DATE
1,CARDINAL
one,CARDINAL
transferee,CARDINAL
2,CARDINAL
bearer,ORG
5,CARDINAL
two,CARDINAL
3,CARDINAL
4,CARDINAL
6,CARDINAL
transferee,CARDINAL
transferee,CARDINAL
33,CARDINAL
5,CARDINAL
34,CARDINAL
1,CARDINAL
indorsee,GPE
32,CARDINAL
bearer,ORG
2,CARDINAL
1,CARDINAL
3,CARDINAL
4,CARDINAL
2,CARDINAL
35,DATE
1,CARDINAL
two,CARDINAL
§,NORP
1961,DATE
3,CARDINAL
two,CARDINAL
one,CARDINAL
38,CARDINAL
2,CARDINAL
3,CARDINAL
first,ORDINAL
36,DATE
2,CARDINAL
thenceforward,PERSON
39,CARDINAL
1,CARDINAL
3,CARDINAL
2,CARDINAL
4,CARDINAL
3,CARDINAL
5,CARDINAL
4,CARDINAL
diligence,PERSON
the day,DATE
37,CARDINAL
thereon,GPE
2,CARDINAL
3,CARDINAL
3,CARDINAL
42,CARDINAL
1,CARDINAL
41,CARDINAL
1,CARDINAL
2,CARDINAL
the day,DATE
a business day,DATE
business day,DATE
43,CARDINAL
1,CARDINAL
two,CARDINAL
2,CARDINAL
the 44,DATE
1,CARDINAL
the day,DATE
bill shall,PERSON
business day,DATE
2,CARDINAL
2,CARDINAL
iv/170,ORG
