entity,label
92,CARDINAL
2,CARDINAL
2,CARDINAL
3,CARDINAL
3,CARDINAL
4,CARDINAL
sri lanka,GPE
86,DATE
90,CARDINAL
bearer,ORG
87,CARDINAL
1,CARDINAL
two,CARDINAL
2,CARDINAL
two,CARDINAL
91,CARDINAL
1,CARDINAL
88,DATE
1,CARDINAL
2,CARDINAL
2,CARDINAL
first,ORDINAL
3,CARDINAL
3,CARDINAL
89,CARDINAL
1,CARDINAL
4,CARDINAL
92,CARDINAL
96,CARDINAL
92.,CARDINAL
two,CARDINAL
93,CARDINAL
1,CARDINAL
97,CARDINAL
2,CARDINAL
98,DATE
1,CARDINAL
2,CARDINAL
94,CARDINAL
business days,DATE
3,CARDINAL
a business day,DATE
95,CARDINAL
17,CARDINAL
