entity,label
4,CARDINAL
13,CARDINAL
1,CARDINAL
10,CARDINAL
1,CARDINAL
2,CARDINAL
sunday,DATE
14,CARDINAL
2,CARDINAL
the day,DATE
1,CARDINAL
three days,DATE
days,DATE
11,CARDINAL
1,CARDINAL
the last day,DATE
the last day,DATE
a day,DATE
the preceding business day,DATE
2,CARDINAL
the last day,DATE
the day,DATE
sunday,DATE
the second day,DATE
12,CARDINAL
2,CARDINAL
the period after date,DATE
section 14,LAW
1,CARDINAL
section 3 of the,LAW
1971,DATE
chapter 364,LAW
1,CARDINAL
chapter 135,LAW
1938,DATE
the day,DATE
the day,DATE
3,CARDINAL
first,ORDINAL
2,CARDINAL
30,CARDINAL
4,CARDINAL
1961,DATE
19,CARDINAL
1,CARDINAL
15,CARDINAL
2,CARDINAL
3,CARDINAL
16,CARDINAL
17,CARDINAL
1,CARDINAL
2,CARDINAL
4,CARDINAL
20,CARDINAL
1,CARDINAL
18,DATE
22,CARDINAL
2,CARDINAL
2,CARDINAL
sri lanka,GPE
roman-dutch,NORP
sri lanka,GPE
3,CARDINAL
4,CARDINAL
21,CARDINAL
1,CARDINAL
23,CARDINAL
2,CARDINAL
24,CARDINAL
3,CARDINAL
2,CARDINAL
25,CARDINAL
29,CARDINAL
1,CARDINAL
26,CARDINAL
1,CARDINAL
2,CARDINAL
2,CARDINAL
27,CARDINAL
1,CARDINAL
england,GPE
3,CARDINAL
2,CARDINAL
30,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
28,CARDINAL
1,CARDINAL
4,CARDINAL
indorsee,GPE
31,DATE
1,CARDINAL
one,CARDINAL
transferee,CARDINAL
2,CARDINAL
bearer,ORG
5,CARDINAL
two,CARDINAL
3,CARDINAL
4,CARDINAL
6,CARDINAL
transferee,CARDINAL
transferee,CARDINAL
33,CARDINAL
5,CARDINAL
34,CARDINAL
1,CARDINAL
indorsee,GPE
32,CARDINAL
bearer,ORG
2,CARDINAL
1,CARDINAL
3,CARDINAL
4,CARDINAL
2,CARDINAL
35,DATE
1,CARDINAL
two,CARDINAL
§,NORP
1961,DATE
3,CARDINAL
two,CARDINAL
one,CARDINAL
