entity,label
92,CARDINAL
8),CARDINAL
9,CARDINAL
third,ORDINAL
52,CARDINAL
1,CARDINAL
1.1,CARDINAL
2,CARDINAL
55,DATE
1,CARDINAL
the day,DATE
3,CARDINAL
4,CARDINAL
2,CARDINAL
53,CARDINAL
54,DATE
1,CARDINAL
2,CARDINAL
• iv/175,ORG
92,CARDINAL
58,CARDINAL
1,CARDINAL
1 .,CARDINAL
transferee,CARDINAL
bill,PERSON
2,CARDINAL
56,DATE
3,CARDINAL
57,CARDINAL
1,CARDINAL
59,CARDINAL
1,CARDINAL
2,CARDINAL
third,ORDINAL
bill;,PERSON
2,CARDINAL
3,CARDINAL
3,CARDINAL
60,CARDINAL
1,CARDINAL
iv/176,ORG
64,DATE
1,CARDINAL
2.25,CARDINAL
2,CARDINAL
1,CARDINAL
1957,DATE
section 84,LAW
2,CARDINAL
61,CARDINAL
62,DATE
1,CARDINAL
65.,CARDINAL
1,CARDINAL
2,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
2,CARDINAL
4,CARDINAL
3,CARDINAL
5,CARDINAL
