entity,label
92,CARDINAL
5,CARDINAL
one,CARDINAL
76,DATE
1,CARDINAL
two,CARDINAL
4,CARDINAL
30,CARDINAL
1961,DATE
73,CARDINAL
2,CARDINAL
30,CARDINAL
1961.1,CARDINAL
74,CARDINAL
1,CARDINAL
1,CARDINAL
6,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
1961-,CARDINAL
5,CARDINAL
2,CARDINAL
6,CARDINAL
3,CARDINAL
78,CARDINAL
79,CARDINAL
1,CARDINAL
more than one,CARDINAL
75,CARDINAL
92,CARDINAL
2,CARDINAL
2,CARDINAL
83,CARDINAL
76 to 82,DATE
76,CARDINAL
82,CARDINAL
80,CARDINAL
84,CARDINAL
76 to 82,DATE
76,CARDINAL
82,CARDINAL
81,CARDINAL
6.30,CARDINAL
11,CARDINAL
1961,DATE
85,DATE
1,CARDINAL
one,CARDINAL
82,CARDINAL
1,CARDINAL
