entity,label
3,CARDINAL
45,CARDINAL
1,CARDINAL
the day,DATE
5,CARDINAL
2,CARDINAL
6,CARDINAL
two,CARDINAL
3,CARDINAL
a reasonable hour,TIME
a business day,DATE
8),CARDINAL
46,DATE
1,CARDINAL
4,CARDINAL
13-,DATE
2,CARDINAL
49,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
3,CARDINAL
47,CARDINAL
1,CARDINAL
4,CARDINAL
2,CARDINAL
5,CARDINAL
48,CARDINAL
••,ORG
6,CARDINAL
7,CARDINAL
a convenient hour,TIME
that day,DATE
that day,DATE
13,CARDINAL
8),CARDINAL
9,CARDINAL
14,CARDINAL
10,CARDINAL
15,CARDINAL
11,CARDINAL
two,CARDINAL
50,CARDINAL
1,CARDINAL
12,CARDINAL
2,CARDINAL
the day,DATE
the day,DATE
92,CARDINAL
3,CARDINAL
4,CARDINAL
the day,DATE
business day,DATE
6,CARDINAL
the day,DATE
51,CARDINAL
1,CARDINAL
2,CARDINAL
iv/174,CARDINAL
