entity,label
one,CARDINAL
4,CARDINAL
3,CARDINAL
8,CARDINAL
1,CARDINAL
2,CARDINAL
4,CARDINAL
1,CARDINAL
3,CARDINAL
sri lanka,GPE
4,CARDINAL
2,CARDINAL
5,CARDINAL
5,CARDINAL
1,CARDINAL
2,CARDINAL
9,CARDINAL
1,CARDINAL
6,CARDINAL
1,CARDINAL
2,CARDINAL
two,CARDINAL
two,CARDINAL
two,CARDINAL
1,CARDINAL
2,CARDINAL
two,CARDINAL
2,CARDINAL
two,CARDINAL
3,CARDINAL
one,CARDINAL
two,CARDINAL
4,CARDINAL
13,CARDINAL
1,CARDINAL
10,CARDINAL
1,CARDINAL
2,CARDINAL
sunday,DATE
14,CARDINAL
2,CARDINAL
the day,DATE
1,CARDINAL
three days,DATE
days,DATE
11,CARDINAL
1,CARDINAL
the last day,DATE
the last day,DATE
a day,DATE
the preceding business day,DATE
2,CARDINAL
the last day,DATE
the day,DATE
sunday,DATE
the second day,DATE
12,CARDINAL
2,CARDINAL
the period after date,DATE
section 14,LAW
1,CARDINAL
section 3 of the,LAW
1971,DATE
chapter 364,LAW
1,CARDINAL
chapter 135,LAW
1938,DATE
