entity,label
chapter 92,LAW
25,CARDINAL
30,CARDINAL
1930,DATE
5,CARDINAL
1955,DATE
25,CARDINAL
1957,DATE
30,CARDINAL
1st,ORDINAL
"march, 1928",DATE
1.,CARDINAL
2,CARDINAL
first,ORDINAL
3,CARDINAL
1,CARDINAL
one,CARDINAL
bearer,ORG
2,CARDINAL
3,CARDINAL
one,CARDINAL
one,CARDINAL
4,CARDINAL
3,CARDINAL
8,CARDINAL
1,CARDINAL
2,CARDINAL
4,CARDINAL
1,CARDINAL
3,CARDINAL
sri lanka,GPE
4,CARDINAL
2,CARDINAL
5,CARDINAL
5,CARDINAL
1,CARDINAL
2,CARDINAL
9,CARDINAL
1,CARDINAL
6,CARDINAL
1,CARDINAL
2,CARDINAL
two,CARDINAL
two,CARDINAL
two,CARDINAL
1,CARDINAL
2,CARDINAL
two,CARDINAL
2,CARDINAL
two,CARDINAL
3,CARDINAL
one,CARDINAL
two,CARDINAL
