entity,label
1,CARDINAL
10/2024,DATE
chapter 82,LAW
democratic,NORP
sri lanka,GPE
1,CARDINAL
2024,DATE
5 2,CARDINAL
chapter 82,LAW
chapter 82,LAW
10,CARDINAL
section 2,LAW
1,CARDINAL
15,CARDINAL
sri lanka,GPE
1988,DATE
20,CARDINAL
2,CARDINAL
25,CARDINAL
2,CARDINAL
5,CARDINAL
4,CARDINAL
section 9,LAW
section 9,LAW
4,CARDINAL
nine,CARDINAL
10,CARDINAL
5,CARDINAL
section 14,LAW
section 14,LAW
1,CARDINAL
1,CARDINAL
last day,DATE
business day,DATE
6,CARDINAL
section 15,LAW
section 15,LAW
20 7,DATE
section 35,LAW
1,CARDINAL
section 35,LAW
25,CARDINAL
