entity,label
5,CARDINAL
7,CARDINAL
one,CARDINAL
5 11,CARDINAL
section 76,LAW
section 76,LAW
76,DATE
1,CARDINAL
two,CARDINAL
10,CARDINAL
2,CARDINAL
15,CARDINAL
12,CARDINAL
section 77,LAW
section 77,LAW
1,CARDINAL
4,CARDINAL
20,CARDINAL
4,CARDINAL
25,CARDINAL
2,CARDINAL
6,CARDINAL
6,CARDINAL
13,CARDINAL
section 80,LAW
section 80,LAW
1,CARDINAL
1,CARDINAL
5,CARDINAL
2,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
10,CARDINAL
14,CARDINAL
section 81,LAW
section 81,LAW
15,CARDINAL
81,CARDINAL
1,CARDINAL
20,CARDINAL
2,CARDINAL
25,CARDINAL
7 15,DATE
section 82,LAW
1,CARDINAL
section 82,LAW
1,CARDINAL
5,CARDINAL
2,CARDINAL
10,CARDINAL
16,CARDINAL
section 82,LAW
82a,DATE
82b,DATE
15,CARDINAL
82a,DATE
82b,DATE
"82c,",DATE
82d,DATE
82e,DATE
82f,CARDINAL
82d,DATE
82e,CARDINAL
82f,CARDINAL
82a,DATE
1,CARDINAL
2,CARDINAL
20,CARDINAL
25,CARDINAL
30,CARDINAL
8,CARDINAL
5,CARDINAL
3,CARDINAL
10,CARDINAL
two years,DATE
2,CARDINAL
1,CARDINAL
15,CARDINAL
a period of,DATE
six months,DATE
20,CARDINAL
ninety days,DATE
25,CARDINAL
9,CARDINAL
ninety 5 days,DATE
3,CARDINAL
10,CARDINAL
82b,DATE
15,CARDINAL
thirty days,DATE
20,CARDINAL
2,CARDINAL
section 82a,LAW
30,CARDINAL
