entity,label
securities and exchange commission,ORG
45,CARDINAL
sri lanka,FAC
1,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
chapter 3,LAW
54,DATE
1,CARDINAL
2,CARDINAL
1,CARDINAL
46,CARDINAL
sri lanka,GPE
19,CARDINAL
2021,DATE
twenty five million,QUANTITY
five years,DATE
3,CARDINAL
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
55,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
securities and exchange commission,ORG
47,CARDINAL
sri lanka,GPE
4,CARDINAL
1,CARDINAL
5,CARDINAL
48,CARDINAL
sri lanka,GPE
6,CARDINAL
6,CARDINAL
56,CARDINAL
1,CARDINAL
2,CARDINAL
57,CARDINAL
1,CARDINAL
section 55,LAW
49,CARDINAL
sri lanka,FAC
2,CARDINAL
1,CARDINAL
sri lanka,GPE
section 55,LAW
sri lanka,GPE
50,CARDINAL
sri lanka,GPE
sri lanka,GPE
3,CARDINAL
2,CARDINAL
two weeks,DATE
4,CARDINAL
1,CARDINAL
5,CARDINAL
1,CARDINAL
a period of,DATE
six months,DATE
one year,DATE
6,CARDINAL
4,CARDINAL
51,CARDINAL
sri lanka,GPE
19,CARDINAL
2021,DATE
1,CARDINAL
1,CARDINAL
8),CARDINAL
1,CARDINAL
fourteen days,DATE
9,CARDINAL
8),CARDINAL
10,CARDINAL
11,CARDINAL
12,CARDINAL
11,CARDINAL
58,DATE
1,CARDINAL
section 57,LAW
52,CARDINAL
sri lanka,GPE
19,CARDINAL
4,CARDINAL
section 57,LAW
1,CARDINAL
section 57,LAW
59,DATE
60,CARDINAL
61,DATE
62,CARDINAL
1,CARDINAL
2007,DATE
securities and exchange commission,ORG
53,CARDINAL
2,CARDINAL
3,CARDINAL
63,CARDINAL
chapter 4,LAW
64,CARDINAL
1,CARDINAL
