entity,label
securities and exchange commission,ORG
27,CARDINAL
1,CARDINAL
5,CARDINAL
3,CARDINAL
6,CARDINAL
chapter 2,LAW
32,DATE
28,CARDINAL
sri lanka,GPE
19,CARDINAL
2021,DATE
29,CARDINAL
sri lanka,FAC
33,CARDINAL
34,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
twenty five million,QUANTITY
five years,DATE
3,CARDINAL
1,CARDINAL
the central bank of sri lanka,ORG
sri lanka,GPE
sri lanka,GPE
30,CARDINAL
securities and exchange commission,ORG
sri lanka,GPE
19,CARDINAL
2021,DATE
35,CARDINAL
1,CARDINAL
2,CARDINAL
36,DATE
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
securities and exchange commission,ORG
31,CARDINAL
sri lanka,FAC
32,CARDINAL
sri lanka,GPE
37,CARDINAL
1,CARDINAL
section 35,LAW
securities and exchange commission,ORG
33,CARDINAL
sri lanka,FAC
2,CARDINAL
3,CARDINAL
34,CARDINAL
sri lanka,GPE
2021,DATE
38,CARDINAL
securities and exchange commission,ORG
35,CARDINAL
sri lanka,FAC
19,CARDINAL
1,CARDINAL
section 35,LAW
2,CARDINAL
1,CARDINAL
sri lanka,GPE
section 36,LAW
36,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
3,CARDINAL
2,CARDINAL
two weeks,DATE
4,CARDINAL
1,CARDINAL
5,CARDINAL
1,CARDINAL
37,CARDINAL
19,CARDINAL
2021,CARDINAL
a period of,DATE
six months,DATE
one year,DATE
6,CARDINAL
1,CARDINAL
40,CARDINAL
1,CARDINAL
1,CARDINAL
section 39,LAW
fourteen days,DATE
2,CARDINAL
1,CARDINAL
3,CARDINAL
4,CARDINAL
3,CARDINAL
5,CARDINAL
4,CARDINAL
41,CARDINAL
1,CARDINAL
section 39,LAW
38,CARDINAL
sri lanka,GPE
4,CARDINAL
section 39,LAW
section 39,LAW
42,CARDINAL
1,CARDINAL
2,CARDINAL
43,CARDINAL
1,CARDINAL
39,CARDINAL
sri lanka,FAC
2,CARDINAL
1,CARDINAL
no.7,GPE
2007,DATE
44,DATE
2007,DATE
45,DATE
1,CARDINAL
2,CARDINAL
40,CARDINAL
sri lanka,GPE
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
4,CARDINAL
1,CARDINAL
two days,DATE
46,DATE
1,CARDINAL
1,CARDINAL
section 45,LAW
2,CARDINAL
2007,DATE
41,CARDINAL
sri lanka,FAC
19,CARDINAL
2021,DATE
1,CARDINAL
2007,DATE
47,DATE
1,CARDINAL
first,ORDINAL
second,ORDINAL
3,CARDINAL
second,ORDINAL
second,ORDINAL
second,ORDINAL
first,ORDINAL
first,ORDINAL
first,ORDINAL
first,ORDINAL
2,CARDINAL
3,CARDINAL
1,CARDINAL
second,ORDINAL
second,ORDINAL
42,CARDINAL
sri lanka,GPE
first,ORDINAL
second,ORDINAL
second,ORDINAL
first,ORDINAL
second,ORDINAL
second,ORDINAL
the period of,DATE
six months,DATE
4,CARDINAL
second,ORDINAL
1,CARDINAL
second,ORDINAL
second,ORDINAL
second,ORDINAL
second,ORDINAL
no.7,GPE
2007,DATE
second,ORDINAL
second,ORDINAL
1,CARDINAL
43,CARDINAL
sri lanka,FAC
48,CARDINAL
49,CARDINAL
50,CARDINAL
51,CARDINAL
1,CARDINAL
44,CARDINAL
sri lanka,GPE
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
4,CARDINAL
1,CARDINAL
52,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
securities and exchange commission,ORG
45,CARDINAL
sri lanka,FAC
1,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
chapter 3,LAW
54,DATE
1,CARDINAL
2,CARDINAL
1,CARDINAL
