entity,label
12,CARDINAL
sri lanka,GPE
19,CARDINAL
4,CARDINAL
19,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
securities and exchange commission,ORG
13,CARDINAL
sri lanka,FAC
5,CARDINAL
1,CARDINAL
20,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
sri lanka,GPE
14,CARDINAL
sri lanka,GPE
4,CARDINAL
5,CARDINAL
6,CARDINAL
the public service commission,ORG
2,CARDINAL
section 14,LAW
the national transport commission act,ORG
8),CARDINAL
3,CARDINAL
section 14,LAW
the national transport commission act,ORG
9,CARDINAL
securities and exchange commission,ORG
15,CARDINAL
sri lanka,GPE
10,CARDINAL
sri lanka,GPE
three years,DATE
21,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
22,CARDINAL
chapter 19,LAW
1979,DATE
16,CARDINAL
sri lanka,GPE
19,CARDINAL
2021,DATE
23,CARDINAL
26,CARDINAL
24,CARDINAL
sri lanka,GPE
chapter 1 exchanges prohibition 25,LAW
1,CARDINAL
2,CARDINAL
1,CARDINAL
twenty-five million,QUANTITY
five years,DATE
26,CARDINAL
1,CARDINAL
