entity,label
16,CARDINAL
sri lanka,GPE
19,CARDINAL
2021,DATE
23,CARDINAL
26,CARDINAL
24,CARDINAL
sri lanka,GPE
chapter 1 exchanges prohibition 25,LAW
1,CARDINAL
2,CARDINAL
1,CARDINAL
twenty-five million,QUANTITY
five years,DATE
26,CARDINAL
1,CARDINAL
securities and exchange commission,ORG
17,CARDINAL
sri lanka,FAC
2,CARDINAL
1,CARDINAL
3,CARDINAL
18,CARDINAL
sri lanka,GPE
19,CARDINAL
4,CARDINAL
1,CARDINAL
20,CARDINAL
sri lanka,GPE
5,CARDINAL
3,CARDINAL
27,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
21,CARDINAL
6,CARDINAL
5,CARDINAL
seven days,DATE
28,CARDINAL
1,CARDINAL
section 26,LAW
22,CARDINAL
sri lanka,GPE
2,CARDINAL
1,CARDINAL
sri lanka,GPE
section 26,LAW
sri lanka,GPE
23,CARDINAL
sri lanka,FAC
sri lanka,GPE
3,CARDINAL
2,CARDINAL
two weeks,DATE
4,CARDINAL
1,CARDINAL
5,CARDINAL
4,CARDINAL
1,CARDINAL
6,CARDINAL
1,CARDINAL
24,CARDINAL
sri lanka,GPE
7,CARDINAL
1,CARDINAL
8),CARDINAL
1,CARDINAL
fourteen days,DATE
9,CARDINAL
8),CARDINAL
10,CARDINAL
8),CARDINAL
a period of,DATE
three months,DATE
11,CARDINAL
12,CARDINAL
11,CARDINAL
29,CARDINAL
1,CARDINAL
section 28,LAW
25,CARDINAL
2021,DATE
4,CARDINAL
section 28,LAW
section 28,LAW
30,CARDINAL
1,CARDINAL
five business days,DATE
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
1,CARDINAL
five business days,DATE
3,CARDINAL
1,CARDINAL
2,CARDINAL
4,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
2,CARDINAL
5,CARDINAL
26,CARDINAL
sri lanka,GPE
6,CARDINAL
31,CARDINAL
1,CARDINAL
the ministry of finance.,ORG
2,CARDINAL
3,CARDINAL
4,CARDINAL
27,CARDINAL
1,CARDINAL
5,CARDINAL
3,CARDINAL
6,CARDINAL
chapter 2,LAW
32,DATE
