entity,label
120,CARDINAL
sri lanka,GPE
sri lanka,GPE
3,CARDINAL
4,CARDINAL
chapter 2,LAW
158,CARDINAL
1,CARDINAL
2,CARDINAL
securities and exchange commission,ORG
121,CARDINAL
3,CARDINAL
159,CARDINAL
1,CARDINAL
three,CARDINAL
2,CARDINAL
1,CARDINAL
160,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
122,CARDINAL
securities and exchange commission,ORG
sri lanka,GPE
19,CARDINAL
161,CARDINAL
1,CARDINAL
2,CARDINAL
chapter 3 financial year,LAW
year 162,DATE
the financial year,DATE
twelve months,DATE
the first day of january each year,DATE
163,CARDINAL
1,CARDINAL
2,CARDINAL
article 154,LAW
part vii,PERSON
164,CARDINAL
