entity,label
securities and exchange commission,ORG
53,CARDINAL
2,CARDINAL
3,CARDINAL
63,CARDINAL
chapter 4,LAW
64,CARDINAL
1,CARDINAL
54,CARDINAL
sri lanka,GPE
2,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
ninety days,DATE
6,CARDINAL
ninety days,DATE
4,CARDINAL
ninety days,DATE
8),CARDINAL
5,CARDINAL
securities and exchange commission,ORG
55,CARDINAL
sri lanka,FAC
9,CARDINAL
5,CARDINAL
8),CARDINAL
65,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
2,CARDINAL
4,CARDINAL
1,CARDINAL
2,CARDINAL
5,CARDINAL
5,CARDINAL
first,ORDINAL
66,CARDINAL
1,CARDINAL
five,CARDINAL
56,CARDINAL
sri lanka,GPE
2,CARDINAL
3,CARDINAL
1,CARDINAL
4,CARDINAL
1,CARDINAL
5,CARDINAL
6,CARDINAL
67,CARDINAL
1,CARDINAL
section 66,LAW
57,CARDINAL
2,CARDINAL
1,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
1,CARDINAL
4,CARDINAL
1,CARDINAL
fourteen days,DATE
58,CARDINAL
sri lanka,GPE
5,CARDINAL
forty five days,DATE
4,CARDINAL
1,CARDINAL
6,CARDINAL
1,CARDINAL
8),CARDINAL
5,CARDINAL
9,CARDINAL
5,CARDINAL
twenty five million,QUANTITY
five years,DATE
68,CARDINAL
1,CARDINAL
2007,DATE
securities and exchange commission,ORG
59,CARDINAL
2,CARDINAL
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
a period of,DATE
three years,DATE
60,CARDINAL
sri lanka,GPE
19,CARDINAL
2021,DATE
69,CARDINAL
70,CARDINAL
71,DATE
61,CARDINAL
72,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
2,CARDINAL
73,CARDINAL
1,CARDINAL
annual,DATE
annual,DATE
five months of the date,DATE
62,CARDINAL
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
annual,DATE
1,CARDINAL
sri lanka,GPE
3,CARDINAL
annual,DATE
4,CARDINAL
2,CARDINAL
3,CARDINAL
annual,DATE
no.7,GPE
2007,DATE
74,CARDINAL
1,CARDINAL
63,CARDINAL
sri lanka,FAC
2,CARDINAL
1,CARDINAL
3,CARDINAL
64,CARDINAL
sri lanka,GPE
4,CARDINAL
3,CARDINAL
75,CARDINAL
annual,DATE
76,CARDINAL
annual,DATE
annual,DATE
77,DATE
1,CARDINAL
65,CARDINAL
sri lanka,FAC
19,CARDINAL
2,CARDINAL
1,CARDINAL
1,CARDINAL
thirty days,DATE
2,CARDINAL
later than ninety days,DATE
part iii,PERSON
79,DATE
