entity,label
76,CARDINAL
sri lanka,GPE
5,CARDINAL
4,CARDINAL
6,CARDINAL
91,DATE
1,CARDINAL
2,CARDINAL
1,CARDINAL
chapter 2,LAW
92,DATE
1,CARDINAL
2,CARDINAL
1,CARDINAL
twenty five million,QUANTITY
five years,DATE
securities and exchange commission,ORG
77,CARDINAL
sri lanka,FAC
19,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
twenty five million,QUANTITY
five years,DATE
94,CARDINAL
1,CARDINAL
4,CARDINAL
2,CARDINAL
3,CARDINAL
three months,DATE
4,CARDINAL
five,CARDINAL
each day,DATE
5,CARDINAL
78,CARDINAL
sri lanka,GPE
19,CARDINAL
2021,DATE
95,CARDINAL
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
79,CARDINAL
sri lanka,FAC
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
96,CARDINAL
97,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
1,CARDINAL
98,CARDINAL
1,CARDINAL
97,CARDINAL
securities and exchange commission,ORG
81,CARDINAL
sri lanka,FAC
2,CARDINAL
3,CARDINAL
three months,DATE
4,CARDINAL
five,CARDINAL
each day,DATE
5,CARDINAL
99,CARDINAL
1,CARDINAL
section 98,LAW
section 98,LAW
82,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
83,CARDINAL
2,CARDINAL
100,CARDINAL
101,CARDINAL
1,CARDINAL
twelve months,DATE
2,CARDINAL
twelve months,DATE
84,CARDINAL
sri lanka,GPE
3,CARDINAL
more than twelve months,DATE
2,CARDINAL
4,CARDINAL
1,CARDINAL
3,CARDINAL
102,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
103,CARDINAL
1,CARDINAL
2,CARDINAL
securities and exchange commission,ORG
85,CARDINAL
sri lanka,FAC
19,CARDINAL
105,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
4,CARDINAL
1,CARDINAL
5,CARDINAL
86,CARDINAL
sri lanka,GPE
6,CARDINAL
2,CARDINAL
4,CARDINAL
106,CARDINAL
107,CARDINAL
securities and exchange commission,ORG
87,CARDINAL
sri lanka,FAC
19,CARDINAL
108,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
88,CARDINAL
sri lanka,GPE
4,CARDINAL
3,CARDINAL
5,CARDINAL
chapter 3,LAW
109,CARDINAL
