entity,label
98,CARDINAL
sri lanka,GPE
3,CARDINAL
1,CARDINAL
125,CARDINAL
126,CARDINAL
127,CARDINAL
sri lanka,GPE
section 80,LAW
sri lanka,GPE
sri lanka,GPE
99,CARDINAL
sri lanka,GPE
19,CARDINAL
2021,DATE
section 80,LAW
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
chapter 1,LAW
128,CARDINAL
1,CARDINAL
100,CARDINAL
sri lanka,GPE
2,CARDINAL
3,CARDINAL
1,CARDINAL
first,ORDINAL
4,CARDINAL
1,CARDINAL
5,CARDINAL
3,CARDINAL
101,CARDINAL
6,CARDINAL
3,CARDINAL
129,CARDINAL
1,CARDINAL
one,CARDINAL
102,CARDINAL
sri lanka,GPE
19,CARDINAL
2021,DATE
2,CARDINAL
130,CARDINAL
securities and exchange commission,ORG
103,CARDINAL
19,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
132,CARDINAL
104,CARDINAL
sri lanka,GPE
19,CARDINAL
2021,CARDINAL
2,CARDINAL
133,CARDINAL
134,CARDINAL
1,CARDINAL
105,CARDINAL
2,CARDINAL
1,CARDINAL
135,CARDINAL
136,CARDINAL
section 137,LAW
first,ORDINAL
137,CARDINAL
1,CARDINAL
106,CARDINAL
sri lanka,GPE
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
1,CARDINAL
1,CARDINAL
third,ORDINAL
1,CARDINAL
securities and exchange commission,ORG
107,CARDINAL
19,CARDINAL
2021,DATE
1,CARDINAL
first,ORDINAL
first,ORDINAL
2,CARDINAL
3,CARDINAL
section 137,LAW
108,CARDINAL
sri lanka,GPE
first,ORDINAL
2,CARDINAL
3,CARDINAL
2,CARDINAL
3,CARDINAL
section 137,LAW
one,CARDINAL
109,CARDINAL
sri lanka,FAC
139,CARDINAL
1,CARDINAL
2,CARDINAL
2,CARDINAL
3,CARDINAL
section 137,LAW
110,CARDINAL
sri lanka,GPE
3,CARDINAL
2,CARDINAL
section 137,LAW
4,CARDINAL
securities and exchange commission,ORG
111,CARDINAL
sri lanka,FAC
19,CARDINAL
1,CARDINAL
2,CARDINAL
2,CARDINAL
3,CARDINAL
141,CARDINAL
1,CARDINAL
2,CARDINAL
2,CARDINAL
3,CARDINAL
2,CARDINAL
112,CARDINAL
sri lanka,GPE
19,CARDINAL
2021,DATE
142,CARDINAL
1,CARDINAL
2,CARDINAL
section 137,LAW
2,CARDINAL
3,CARDINAL
2,CARDINAL
section 137,LAW
3,CARDINAL
2,CARDINAL
4,CARDINAL
5,CARDINAL
2,CARDINAL
section 137,LAW
5,CARDINAL
4,CARDINAL
first,ORDINAL
first,ORDINAL
143,CARDINAL
2,CARDINAL
section 137,LAW
securities and exchange commission,ORG
113,CARDINAL
sri lanka,GPE
19,CARDINAL
144,CARDINAL
1,CARDINAL
2,CARDINAL
section 137,LAW
2,CARDINAL
1,CARDINAL
145,CARDINAL
2,CARDINAL
114,CARDINAL
sri lanka,GPE
19,CARDINAL
2021,DATE
146,CARDINAL
1,CARDINAL
2,CARDINAL
137,CARDINAL
2,CARDINAL
3,CARDINAL
section 137,LAW
securities and exchange commission,ORG
115,CARDINAL
19,CARDINAL
1,CARDINAL
128,CARDINAL
129,CARDINAL
130,CARDINAL
131,CARDINAL
132,CARDINAL
2,CARDINAL
3,CARDINAL
less than ten million,CARDINAL
ten years,DATE
2,CARDINAL
1,CARDINAL
1,CARDINAL
148,CARDINAL
149,CARDINAL
150,CARDINAL
section 152,LAW
section 137,LAW
138,CARDINAL
139,CARDINAL
140,CARDINAL
141,CARDINAL
142,CARDINAL
143,CARDINAL
144,CARDINAL
145,CARDINAL
146,CARDINAL
2,CARDINAL
3,CARDINAL
section 137,LAW
151,CARDINAL
1,CARDINAL
128,CARDINAL
129,DATE
130,CARDINAL
131,CARDINAL
132,CARDINAL
2,CARDINAL
3,CARDINAL
2,CARDINAL
116,CARDINAL
sri lanka,GPE
19,CARDINAL
2021,DATE
152,CARDINAL
1,CARDINAL
128,CARDINAL
129,DATE
130,CARDINAL
131,CARDINAL
132,CARDINAL
2,CARDINAL
3,CARDINAL
2,CARDINAL
1,CARDINAL
128,CARDINAL
129,DATE
130,CARDINAL
131,CARDINAL
132,CARDINAL
2,CARDINAL
3,CARDINAL
section 137,LAW
three,CARDINAL
less than ten million,CARDINAL
one hundred million,QUANTITY
3,CARDINAL
2,CARDINAL
2,CARDINAL
chapter 101,LAW
4,CARDINAL
three,CARDINAL
securities and exchange commission,ORG
117,CARDINAL
5,CARDINAL
1,CARDINAL
4,CARDINAL
one third,CARDINAL
6,CARDINAL
2,CARDINAL
4,CARDINAL
153,CARDINAL
section 152,LAW
six years,DATE
118,CARDINAL
sri lanka,GPE
19,CARDINAL
2021,DATE
154,CARDINAL
chapter 1,LAW
155,CARDINAL
1,CARDINAL
2,CARDINAL
156,CARDINAL
1,CARDINAL
section 155,LAW
2,CARDINAL
