entity,label
88,CARDINAL
sri lanka,GPE
4,CARDINAL
3,CARDINAL
5,CARDINAL
chapter 3,LAW
109,CARDINAL
securities and exchange commission,ORG
89,CARDINAL
sri lanka,FAC
19,CARDINAL
1,CARDINAL
2,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
2,CARDINAL
90,CARDINAL
sri lanka,GPE
4,CARDINAL
1,CARDINAL
3,CARDINAL
2,CARDINAL
111,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
112,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
securities and exchange commission,ORG
91,CARDINAL
sri lanka,FAC
19,CARDINAL
113,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
2,CARDINAL
92,CARDINAL
sri lanka,GPE
19,CARDINAL
2021,DATE
1,CARDINAL
2,CARDINAL
4,CARDINAL
1,CARDINAL
six years,DATE
5,CARDINAL
6,CARDINAL
114,CARDINAL
115,CARDINAL
1,CARDINAL
2,CARDINAL
securities and exchange commission,ORG
93,CARDINAL
sri lanka,FAC
3,CARDINAL
4,CARDINAL
116,CARDINAL
sri lanka,GPE
