entity,label
securities and exchange commission,ORG
133,CARDINAL
19,CARDINAL
2021,CARDINAL
2,CARDINAL
175,CARDINAL
1,CARDINAL
sri lanka,GPE
134,CARDINAL
sri lanka,GPE
19,CARDINAL
2021,DATE
2,CARDINAL
1,CARDINAL
1,CARDINAL
3,CARDINAL
less than ten million,CARDINAL
one hundred million,QUANTITY
ten years,DATE
4,CARDINAL
176,CARDINAL
1,CARDINAL
15,CARDINAL
1979,DATE
securities and exchange commission,ORG
135,CARDINAL
sri lanka,LOC
2,CARDINAL
19,CARDINAL
2006,DATE
177,CARDINAL
one half,CARDINAL
178,CARDINAL
1,CARDINAL
1,CARDINAL
136,CARDINAL
sri lanka,GPE
fifty million,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
137,CARDINAL
one,CARDINAL
4,CARDINAL
1,CARDINAL
5,CARDINAL
6,CARDINAL
1,CARDINAL
fourteen days,DATE
a period of,DATE
one month,DATE
138 securities and exchange commission,ORG
sri lanka,GPE
2,CARDINAL
8),CARDINAL
1,CARDINAL
9,CARDINAL
1,CARDINAL
179,CARDINAL
1,CARDINAL
139,CARDINAL
19,CARDINAL
2021,DATE
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
1,CARDINAL
3,CARDINAL
2,CARDINAL
140,CARDINAL
sri lanka,GPE
19,CARDINAL
2021,DATE
180,CARDINAL
1,CARDINAL
141,CARDINAL
sri lanka,FAC
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
142,CARDINAL
sri lanka,GPE
4,CARDINAL
1,CARDINAL
5,CARDINAL
1,CARDINAL
6,CARDINAL
143,CARDINAL
8),CARDINAL
1,CARDINAL
thirty days,DATE
9,CARDINAL
181,CARDINAL
182,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
144,CARDINAL
sri lanka,GPE
sri lanka,GPE
3,CARDINAL
4,CARDINAL
183,CARDINAL
1,CARDINAL
145,CARDINAL
annual,DATE
146,CARDINAL
sri lanka,GPE
2,CARDINAL
1,CARDINAL
184,CARDINAL
contracts securities and exchange commission,ORG
147,CARDINAL
185,CARDINAL
128,CARDINAL
129,CARDINAL
186,CARDINAL
article 140 of the constitution,LAW
187,CARDINAL
1,CARDINAL
the securities and exchange commission,ORG
1987,DATE
2,CARDINAL
the securities and exchange commission,ORG
sri lanka,GPE
1987,DATE
the day,DATE
148,CARDINAL
sri lanka,GPE
the day,DATE
the day,DATE
the securities and exchange commission,ORG
sri lanka,GPE
the day,DATE
the day,DATE
149,CARDINAL
19,CARDINAL
2021,DATE
the securities and exchange commission,ORG
sri lanka,GPE
the day,DATE
the securities and exchange commission,ORG
sri lanka,GPE
the day,DATE
the securities and exchange commission,ORG
sri lanka,GPE
150,CARDINAL
sri lanka,GPE
19,CARDINAL
2021,DATE
the securities and exchange commission,ORG
sri lanka,GPE
3,CARDINAL
the securities and exchange commission,ORG
sri lanka,GPE
1987,DATE
sri lanka,GPE
1987,DATE
the securities and exchange commission,ORG
sri lanka,GPE
1987,DATE
188,CARDINAL
two hundred million,CARDINAL
151,CARDINAL
annual,DATE
the preceding three years,DATE
less than thirty million,CARDINAL
one thousand million,CARDINAL
the preceding twelve months,DATE
sri lanka,GPE
chapter 422,LAW
152,CARDINAL
sri lanka,GPE
19,CARDINAL
2021,DATE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
153,CARDINAL
154,CARDINAL
sri lanka,GPE
19,CARDINAL
securities and exchange commission,ORG
155,CARDINAL
less than twenty,CARDINAL
156,CARDINAL
sri lanka,GPE
section 2,LAW
no.10 of 1996,DATE
157,CARDINAL
sri lanka,FAC
19,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
158,CARDINAL
sri lanka,GPE
19,CARDINAL
derivatives broker,PERSON
159,CARDINAL
sri lanka,FAC
160,CARDINAL
sri lanka,GPE
securities and exchange commission,ORG
161,CARDINAL
sri lanka,GPE
article 44,LAW
45,CARDINAL
sri lanka,GPE
sri lanka,GPE
chapter 422,LAW
162,CARDINAL
sri lanka,GPE
19,CARDINAL
the central bank of sri lanka,ORG
sri lanka,GPE
sri lanka,FAC
1995,DATE
163,CARDINAL
sri lanka,FAC
2007,DATE
at least one,CARDINAL
at least one,CARDINAL
daily,DATE
english,LANGUAGE
sri lanka,GPE
164,CARDINAL
sri lanka,GPE
19,CARDINAL
sri lanka,GPE
section 182,LAW
165,CARDINAL
sri lanka,GPE
19,CARDINAL
2021,DATE
no.7,GPE
2007,DATE
189,CARDINAL
166,CARDINAL
sri lanka,GPE
19,CARDINAL
2021,DATE
english,LANGUAGE
prakashana piyasa,PERSON
118,CARDINAL
danister de silva mawatha,PERSON
8,CARDINAL
