entity,label
66,CARDINAL
securities and exchange commission,ORG
sri lanka,GPE
chapter,PERSON
80,CARDINAL
third,ORDINAL
81,CARDINAL
1,CARDINAL
67,CARDINAL
sri lanka,FAC
2,CARDINAL
3,CARDINAL
82,CARDINAL
1,CARDINAL
2007,DATE
2,CARDINAL
2007,DATE
68,CARDINAL
sri lanka,GPE
3,CARDINAL
83,CARDINAL
1,CARDINAL
section 80,LAW
2,CARDINAL
1,CARDINAL
securities and exchange commission,ORG
69,CARDINAL
3,CARDINAL
1,CARDINAL
4,CARDINAL
3,CARDINAL
the end of twenty one days,DATE
the day,DATE
2,CARDINAL
5,CARDINAL
1,CARDINAL
3,CARDINAL
6,CARDINAL
1,CARDINAL
fourteen days,DATE
70,CARDINAL
sri lanka,GPE
fourteen days,DATE
84,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
securities and exchange commission,ORG
71,CARDINAL
sri lanka,GPE
1,CARDINAL
72,CARDINAL
sri lanka,GPE
2,CARDINAL
1,CARDINAL
1,CARDINAL
3,CARDINAL
4,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
securities and exchange commission,ORG
73,CARDINAL
sri lanka,GPE
5,CARDINAL
section 86,LAW
86,CARDINAL
87,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
1,CARDINAL
2,CARDINAL
74,CARDINAL
sri lanka,GPE
19,CARDINAL
2021,DATE
88,CARDINAL
89,CARDINAL
1,CARDINAL
2,CARDINAL
90,CARDINAL
1,CARDINAL
75,CARDINAL
sri lanka,FAC
two weeks,DATE
2,CARDINAL
1,CARDINAL
two weeks,DATE
3,CARDINAL
4,CARDINAL
76,CARDINAL
sri lanka,GPE
5,CARDINAL
4,CARDINAL
6,CARDINAL
91,DATE
1,CARDINAL
2,CARDINAL
1,CARDINAL
chapter 2,LAW
92,DATE
1,CARDINAL
2,CARDINAL
1,CARDINAL
twenty five million,QUANTITY
five years,DATE
