entity,label
securities and exchange commission,ORG
95,CARDINAL
3,CARDINAL
chapter 2,LAW
120,CARDINAL
sri lanka,GPE
sri lanka,GPE
121,CARDINAL
122,CARDINAL
96,CARDINAL
securities and exchange commission,ORG
sri lanka,GPE
123,CARDINAL
1,CARDINAL
3,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
securities and exchange commission,ORG
97,CARDINAL
sri lanka,FAC
4,CARDINAL
3,CARDINAL
5,CARDINAL
1,CARDINAL
6,CARDINAL
3,CARDINAL
1,CARDINAL
124,CARDINAL
1,CARDINAL
2,CARDINAL
98,CARDINAL
sri lanka,GPE
3,CARDINAL
1,CARDINAL
125,CARDINAL
126,CARDINAL
127,CARDINAL
sri lanka,GPE
section 80,LAW
sri lanka,GPE
sri lanka,GPE
