entity,label
2,CARDINAL
sri lanka,GPE
chapter 2,LAW
sri lanka,GPE
4,CARDINAL
1,CARDINAL
the securities and exchange commission,ORG
sri lanka,GPE
2,CARDINAL
1,CARDINAL
5,CARDINAL
1,CARDINAL
six,CARDINAL
at least five,CARDINAL
securities and exchange commission,ORG
3,CARDINAL
two,CARDINAL
sri lanka,GPE
sri lanka,GPE
two,CARDINAL
2007,DATE
the institute of chartered accountants,ORG
sri lanka,GPE
the institute of chartered accountants act,ORG
23,CARDINAL
2,CARDINAL
one,CARDINAL
3,CARDINAL
1,CARDINAL
4,CARDINAL
securities and exchange commission,ORG
sri lanka,GPE
19,CARDINAL
2021,DATE
6,CARDINAL
7,CARDINAL
three years,DATE
two,CARDINAL
8,CARDINAL
1,CARDINAL
2,CARDINAL
4,CARDINAL
5,CARDINAL
3,CARDINAL
section 5,LAW
3,CARDINAL
three months,DATE
sri lanka,GPE
3,CARDINAL
section 5,LAW
securities and exchange commission,ORG
5,CARDINAL
4,CARDINAL
first,ORDINAL
three,CARDINAL
5,CARDINAL
three,CARDINAL
9,CARDINAL
1,CARDINAL
2,CARDINAL
6,CARDINAL
sri lanka,GPE
19,CARDINAL
2021,DATE
10,CARDINAL
1,CARDINAL
one,CARDINAL
2,CARDINAL
five,CARDINAL
3,CARDINAL
4,CARDINAL
11,CARDINAL
12,CARDINAL
1,CARDINAL
sri lanka,GPE
2,CARDINAL
3,CARDINAL
2,CARDINAL
13,CARDINAL
7,CARDINAL
19,CARDINAL
2021,DATE
the minutes,TIME
14,CARDINAL
15,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
one,CARDINAL
two,CARDINAL
chapter 3,LAW
16,CARDINAL
