entity,label
securities and exchange commission,ORG
1,CARDINAL
19,CARDINAL
21st of september,DATE
2021,DATE
the securities and exchange commission,ORG
sri lanka,GPE
the securities and exchange commission,ORG
sri lanka,GPE
1987,DATE
democratic,NORP
sri lanka,GPE
1,CARDINAL
sri lanka,GPE
19,CARDINAL
chapter 1,LAW
2,CARDINAL
3.,CARDINAL
the securities and exchange commission,ORG
sri lanka,GPE
2,CARDINAL
sri lanka,GPE
chapter 2,LAW
sri lanka,GPE
4,CARDINAL
1,CARDINAL
the securities and exchange commission,ORG
sri lanka,GPE
2,CARDINAL
1,CARDINAL
5,CARDINAL
1,CARDINAL
six,CARDINAL
at least five,CARDINAL
