entity,label
92,CARDINAL
24,CARDINAL
2017,DATE
96,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
more than one,CARDINAL
4,CARDINAL
5,CARDINAL
1,CARDINAL
24,CARDINAL
2017,DATE
2,CARDINAL
3,CARDINAL
4,CARDINAL
98,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
94,CARDINAL
24,CARDINAL
4,CARDINAL
5,CARDINAL
6,CARDINAL
99,CARDINAL
1,CARDINAL
2,CARDINAL
each year,DATE
annually,DATE
3,CARDINAL
24,CARDINAL
4,CARDINAL
100,CARDINAL
1,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
96,CARDINAL
24,CARDINAL
2017,DATE
19,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
4,CARDINAL
24,CARDINAL
5,CARDINAL
6,CARDINAL
section 152,LAW
101,CARDINAL
102,CARDINAL
1,CARDINAL
a year,DATE
later than thirty days,DATE
that year,DATE
2,CARDINAL
98,CARDINAL
24,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
fourteen days,DATE
103,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
section 102,LAW
3,CARDINAL
24,CARDINAL
2017 99,DATE
4,CARDINAL
5,CARDINAL
no later than thirty days,DATE
104,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
105,CARDINAL
1,CARDINAL
gazette,PERSON
2,CARDINAL
3,CARDINAL
100,CARDINAL
24,CARDINAL
4,CARDINAL
106,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
107,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
24,CARDINAL
2017,DATE
4,CARDINAL
section 108,LAW
ninety days,DATE
5,CARDINAL
6,CARDINAL
108,CARDINAL
1,CARDINAL
102,CARDINAL
24,CARDINAL
2,CARDINAL
109,CARDINAL
1,CARDINAL
2,CARDINAL
24,CARDINAL
3,CARDINAL
4,CARDINAL
section 110,LAW
5,CARDINAL
110,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
104,CARDINAL
24,CARDINAL
2017,DATE
111,CARDINAL
1,CARDINAL
section 109,LAW
2,CARDINAL
3,CARDINAL
112,CARDINAL
1,CARDINAL
2,CARDINAL
sri lanka,GPE
sri lanka,GPE
section 113,LAW
24,CARDINAL
105,CARDINAL
3,CARDINAL
4,CARDINAL
four days,DATE
the day,DATE
sri lanka,GPE
sri lanka,GPE
twenty days,DATE
the day,DATE
5,CARDINAL
113,CARDINAL
1,CARDINAL
106,CARDINAL
24,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
4,CARDINAL
114,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
24,CARDINAL
2017,DATE
115,CARDINAL
116,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
2,CARDINAL
108,CARDINAL
24,CARDINAL
2017,DATE
117,CARDINAL
four years,DATE
taxpayer’s,PERSON
118,CARDINAL
119,CARDINAL
1,CARDINAL
the last day,DATE
a day,DATE
the next succeeding day,DATE
2,CARDINAL
four days,DATE
24,CARDINAL
2017,DATE
109 chapter,QUANTITY
120,CARDINAL
1,CARDINAL
sri lanka,GPE
2,CARDINAL
3,CARDINAL
1,CARDINAL
2,CARDINAL
4,CARDINAL
5,CARDINAL
1,CARDINAL
2,CARDINAL
6,CARDINAL
five years,DATE
