entity,label
120,CARDINAL
24,CARDINAL
2,CARDINAL
128,CARDINAL
129,CARDINAL
130,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
131,CARDINAL
chapter xii,LAW
132,CARDINAL
1,CARDINAL
24,CARDINAL
2,CARDINAL
a year,DATE
the year,DATE
3,CARDINAL
133,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
122,CARDINAL
24,CARDINAL
less than thirty days,DATE
3,CARDINAL
4,CARDINAL
5,CARDINAL
6,CARDINAL
134,CARDINAL
1,CARDINAL
2,CARDINAL
2,CARDINAL
1,CARDINAL
24,CARDINAL
3,CARDINAL
4,CARDINAL
1,CARDINAL
5,CARDINAL
6,CARDINAL
124,CARDINAL
24,CARDINAL
8),CARDINAL
135,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
1):-,CARDINAL
thirty months,DATE
24,CARDINAL
3,CARDINAL
4,CARDINAL
1,CARDINAL
four years,DATE
one year,DATE
4,CARDINAL
3,CARDINAL
5,CARDINAL
126,CARDINAL
24,CARDINAL
less than thirty days,DATE
6,CARDINAL
136,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
2,CARDINAL
section 135,LAW
3,CARDINAL
1,CARDINAL
4,CARDINAL
1,CARDINAL
135,CARDINAL
24,CARDINAL
5,CARDINAL
135,CARDINAL
5,CARDINAL
1,CARDINAL
6,CARDINAL
1,CARDINAL
ninety days,DATE
the ninetieth day,DATE
chapter xiii,LAW
137,CARDINAL
138,CARDINAL
