entity,label
24,CARDINAL
36,DATE
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
two,CARDINAL
37,CARDINAL
1,CARDINAL
32,CARDINAL
24,CARDINAL
2,CARDINAL
2,CARDINAL
chapter ii,LAW
1,CARDINAL
3,CARDINAL
4,CARDINAL
38,DATE
1,CARDINAL
24,CARDINAL
2017,DATE
2,CARDINAL
3,CARDINAL
chapter ii,LAW
39,CARDINAL
34,CARDINAL
24,CARDINAL
2017,DATE
section 70,LAW
40,CARDINAL
1,CARDINAL
37,CARDINAL
38,DATE
2,CARDINAL
24,CARDINAL
section 70,LAW
3,CARDINAL
41,CARDINAL
1,CARDINAL
section 24,LAW
2,CARDINAL
section 24,LAW
3,CARDINAL
36,CARDINAL
24,CARDINAL
2017,DATE
42,DATE
1,CARDINAL
section 37,LAW
2,CARDINAL
3,CARDINAL
first,ORDINAL
first,ORDINAL
3,CARDINAL
2,CARDINAL
4,CARDINAL
24,CARDINAL
first,ORDINAL
first,ORDINAL
43,CARDINAL
section 39,LAW
44,DATE
38,CARDINAL
24,CARDINAL
45,DATE
46,DATE
1,CARDINAL
44,DATE
45,DATE
2,CARDINAL
3,CARDINAL
24,CARDINAL
3,CARDINAL
2,CARDINAL
first,ORDINAL
sri lanka,GPE
4,CARDINAL
5,CARDINAL
5,CARDINAL
4,CARDINAL
40,CARDINAL
24,CARDINAL
at least fifty,CARDINAL
47,CARDINAL
1,CARDINAL
section 39,LAW
six months,DATE
one year,DATE
24,CARDINAL
2,CARDINAL
one,CARDINAL
48,CARDINAL
1,CARDINAL
section 49,LAW
one,CARDINAL
one,CARDINAL
2,CARDINAL
more than fifty years,DATE
49,DATE
1,CARDINAL
first,ORDINAL
2,CARDINAL
42,CARDINAL
24,CARDINAL
3,CARDINAL
section 46,LAW
2,CARDINAL
4,CARDINAL
2,CARDINAL
5,CARDINAL
section 31,LAW
50,CARDINAL
51,CARDINAL
1,CARDINAL
one,CARDINAL
2,CARDINAL
one,CARDINAL
3,CARDINAL
24,CARDINAL
chapter v,LAW
52,CARDINAL
1,CARDINAL
a year,DATE
section 3,LAW
fifth,ORDINAL
2,CARDINAL
sri lanka,GPE
a year,DATE
section 3,LAW
fifth,ORDINAL
3,CARDINAL
sri lanka,GPE
a year,DATE
sri lanka,GPE
section 3,LAW
2(a,CARDINAL
fifth,ORDINAL
53,DATE
1,CARDINAL
2,CARDINAL
2,CARDINAL
1,CARDINAL
